Exchange,Name,Symbol,Price USD,24h Change %,Volume,Market Cap,Listing Date,Age Hours
CoinGecko,Bitcoin,BTC,105057.0,-0.01656,15547274181.0,2088963834703.0,2009-01-03,
CoinGecko,Ethereum,ETH,2516.44,-0.60031,10090781961.0,303933377690.0,2015-07-30,
CoinGecko,Tether,USDT,1.0,-0.00527,23203386514.0,155490489587.0,,
CoinGecko,XRP,XRP,2.15,-0.76429,1418667290.0,126923444106.0,,
CoinGecko,BNB,BNB,647.5,-0.4342,481581371.0,94473253467.0,2017-07-08,
CoinGecko,Solana,SOL,145.07,-0.46182,2464745442.0,76589564204.0,,
CoinGecko,USDC,USDC,0.9998,0.00224,2202674551.0,61644640646.0,,
CoinGecko,Dogecoin,DOGE,0.174715,-1.15629,634383425.0,26163151947.0,,
CoinGecko,TRON,TRX,0.271775,0.96803,310779754.0,25771545157.0,,
CoinGecko,Lido Staked Ether,STETH,2514.56,-0.64369,7013392.0,22863261985.0,,
CoinGecko,Cardano,ADA,0.62628,-1.3809,335129748.0,22611720489.0,,
CoinGecko,Wrapped Bitcoin,WBTC,105061.0,0.01352,80328214.0,13533288348.0,,
CoinGecko,Hyperliquid,HYPE,39.99,-5.28382,208013840.0,13359508733.0,,
CoinGecko,Wrapped stETH,WSTETH,3033.07,-0.70409,17769311.0,10925178552.0,,
CoinGecko,Sui,SUI,2.97,-1.62198,953202364.0,10112190202.0,,
CoinGecko,Bitcoin Cash,BCH,438.21,1.47053,194943728.0,8718384710.0,,
CoinGecko,Chainlink,LINK,13.11,-0.26283,209521121.0,8614474600.0,,
CoinGecko,LEO Token,LEO,9.26,2.3839,17312476.0,8551128650.0,,
CoinGecko,Stellar,XLM,0.256063,-1.3051,97285129.0,7991075977.0,,
CoinGecko,Avalanche,AVAX,18.85,-1.62517,187622154.0,7956767526.0,,
CoinGecko,Toncoin,TON,2.95,-2.32183,115493229.0,7284392667.0,,
CoinGecko,USDS,USDS,0.999905,0.02338,5254004.0,7103085260.0,,
CoinGecko,Shiba Inu,SHIB,1.192e-05,-1.57168,104907864.0,7032142142.0,,
CoinGecko,WETH,WETH,2516.66,-0.64283,247035212.0,6596520786.0,,
CoinGecko,Wrapped eETH,WEETH,2691.64,-0.65342,6539040.0,6574385703.0,,
CoinGecko,Hedera,HBAR,0.153299,-3.76789,99243937.0,6479263321.0,,
CoinGecko,Litecoin,LTC,85.36,-1.56453,196422048.0,6478554107.0,,
CoinGecko,Binance Bridged USDT (BNB Smart Chain),BSC-USD,0.999908,-0.05938,4145731329.0,5984468873.0,,
CoinGecko,Ethena USDe,USDE,0.999761,-0.05945,47315613.0,5892170996.0,,
CoinGecko,Monero,XMR,316.78,0.4997,61060089.0,5843148582.0,,
CoinGecko,Polkadot,DOT,3.77,-0.77562,104398981.0,5741236697.0,,
CoinGecko,WhiteBIT Coin,WBT,39.57,0.9878,43794663.0,5701929972.0,,
CoinGecko,Bitget Token,BGB,4.5,-0.64069,39549579.0,5269931558.0,,
CoinGecko,Coinbase Wrapped BTC,CBBTC,105046.0,-0.00521,155258872.0,4874069544.0,,
CoinGecko,Pepe,PEPE,1.107e-05,-0.4168,577892694.0,4659936647.0,,
CoinGecko,Pi Network,PI,0.610368,4.55401,134251291.0,4550931736.0,,
CoinGecko,Uniswap,UNI,7.19,-1.84667,244081792.0,4320639539.0,,
CoinGecko,Aave,AAVE,271.59,-1.35591,338063437.0,4120794446.0,,
CoinGecko,Dai,DAI,0.999774,-0.02105,48851697.0,3607871428.0,,
CoinGecko,Ethena Staked USDe,SUSDE,1.18,-0.06668,4329277.0,3496419503.0,,
CoinGecko,Bittensor,TAO,363.32,-2.93736,70224809.0,3213156632.0,,
CoinGecko,OKB,OKB,51.86,0.14308,2874063.0,3112245701.0,,
CoinGecko,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,0.0,0.0,2896419685.0,,
CoinGecko,Aptos,APT,4.48,-0.802,121476519.0,2874584003.0,,
CoinGecko,Internet Computer,ICP,5.34,-5.43188,61417485.0,2855683082.0,,
CoinGecko,NEAR Protocol,NEAR,2.23,0.13014,104184476.0,2736888885.0,,
CoinGecko,Cronos,CRO,0.090603,-1.31615,15333449.0,2707863536.0,,
