Name,Symbol,Exchange,Price USD,24h Change %,Volume,Market Cap
PEPE,PEPE-EUR,Bitvavo,$0.00,+0.00%,"432,345,748,884.0",N/A
MOG,MOG-EUR,Bitvavo,$0.00,+0.00%,"325,917,507,896.0",N/A
BTT,BTT-EUR,Bitvavo,$0.00,+0.00%,"120,594,402,163.0",N/A
SHIB,SHIB-EUR,Bitvavo,$0.00,+0.00%,"80,791,103,557.53",N/A
BONK,BONK-EUR,Bitvavo,$0.00,+0.00%,"71,328,293,904.0",N/A
FLOKI,FLOKI-EUR,Bitvavo,$0.00,+0.00%,"5,393,482,648.0",N/A
CAT,CAT-EUR,Bitvavo,$0.00,+0.00%,"3,427,642,619.0",N/A
LUNA,LUNA-EUR,Bitvavo,$0.00,+0.00%,"2,963,523,923.253484",N/A
DOGS,DOGS-EUR,Bitvavo,$0.00,+0.00%,"1,350,476,402.55",N/A
NEIRO,NEIRO-EUR,Bitvavo,$0.00,+0.00%,"847,142,757.5",N/A
Wrapped SOL,SOL,Jupiter,$144.90,N/A,N/A,N/A
USD Coin,USDC,Jupiter,$1.00,N/A,N/A,N/A
USDT,USDT,Jupiter,$1.00,N/A,N/A,N/A
PayPal USD,PYUSD,Jupiter,$1.00,N/A,N/A,N/A
dogwifhat,$WIF,Jupiter,$0.84,N/A,N/A,N/A
Popcat,POPCAT,Jupiter,$0.29,N/A,N/A,N/A
Jito Staked SOL,JitoSOL,Jupiter,$175.52,N/A,N/A,N/A
Jupiter,JUP,Jupiter,$0.41,N/A,N/A,N/A
Bonk,Bonk,Jupiter,$0.00,N/A,N/A,N/A
Jupiter Perps,JLP,Jupiter,$4.39,N/A,N/A,N/A
Notcoin,NOT,CoinGecko,$0.00,N/A,N/A,N/A
Toncoin,TON,CoinGecko,$0.00,N/A,N/A,N/A
Sei,SEI,CoinGecko,$0.00,N/A,N/A,N/A
Aerodrome Finance,AERO,CoinGecko,$0.00,N/A,N/A,N/A
ZKsync,ZK,CoinGecko,$0.00,N/A,N/A,N/A
Chainlink,LINK,CoinGecko,$0.00,N/A,N/A,N/A
LAMBO,LAMBO,CoinGecko,$0.00,N/A,N/A,N/A
Hyperliquid,HYPE,CoinGecko,$0.00,N/A,N/A,N/A
Bittensor,TAO,CoinGecko,$0.00,N/A,N/A,N/A
Maple Finance,SYRUP,CoinGecko,$0.00,N/A,N/A,N/A
Solana,SOL,CoinGecko,$0.00,N/A,N/A,N/A
Mango Network,MGO,CoinGecko,$0.00,N/A,N/A,N/A
Virtuals Protocol,VIRTUAL,CoinGecko,$0.00,N/A,N/A,N/A
Aptos,APT,CoinGecko,$0.00,N/A,N/A,N/A
Jupiter,JUP,CoinGecko,$0.00,N/A,N/A,N/A
BTC,BTC/USD,Alpaca,"$105,921.89",+0.00%,0,N/A
SOL,SOL/USD,Alpaca,$144.95,+0.00%,0,N/A
ETH,ETH/USD,Alpaca,"$2,437.39",-0.04%,0,N/A
DeLorean,DMC,CoinMarketCap,$0.01,N/A,"33,318,703.94801286","$21,138,775.80"
AIVille,AGT,CoinMarketCap,$0.00,N/A,"19,023,535.42883886",$0.00
Mango Network,MGO,CoinMarketCap,$0.02,N/A,"19,195,345.40217984",$0.00
Rank,RAN,CoinMarketCap,$0.00,N/A,"1,809,642.03058176",$0.00
Tuki,TUKI,CoinMarketCap,$0.00,N/A,"1,522,332.01211193",$0.00
RankToken,__RAN,LiveCoinWatch,$0.00,N/A,"1,808,123",N/A
DeLorean,_________DMC,LiveCoinWatch,$0.01,N/A,"3,565,685",N/A
Newton Protocol,_NEWT,LiveCoinWatch,$0.52,N/A,"485,306,253",N/A
KAIKO,_________KAI,LiveCoinWatch,$0.01,+0.94%,"1,525,235",N/A
BaoBao,_BAOBAO,LiveCoinWatch,$0.00,+1.49%,"12,470,543",N/A
EstateX,ESX,LiveCoinWatch,$0.02,+1.71%,"3,470,267",N/A
Redbrick,BRIC,LiveCoinWatch,$0.01,+0.83%,"3,850,988",N/A
WEEX Token,_WXT,LiveCoinWatch,$0.03,+1.00%,"5,585,231",N/A
Expansive Rectal Coin,ERC69,LiveCoinWatch,$0.01,+0.85%,"6,063,223",N/A
Cross-Chain Gas Token,XGAS,LiveCoinWatch,$0.37,+1.07%,"18,179,447",N/A
League of Traders,_LOT,LiveCoinWatch,$0.02,+0.88%,"2,144,586",N/A
OpenVision,_____VISION,LiveCoinWatch,$0.01,+1.77%,"5,000,768",N/A
Nura Labs,NURA,LiveCoinWatch,$0.00,+0.85%,"1,787,709",N/A
Gorbagana,__GOR,LiveCoinWatch,$0.02,+0.71%,"28,497,679",N/A
