Name,Symbol,Exchange,Price USD,24h Change %,Volume,Market Cap,Age (hours),First Seen
PEPE,PEPE-EUR,Bitvavo,$0.00,+0.00%,"613,201,708,252.0",N/A,12.0,2025-07-10T03:54:46.672535+00:00
MOG,MOG-EUR,Bitvavo,$0.00,+0.00%,"539,531,578,458.0",N/A,12.0,2025-07-10T03:54:46.672535+00:00
BONK,BONK-EUR,Bitvavo,$0.00,+0.00%,"202,220,341,308.0",N/A,12.0,2025-07-10T03:54:46.672535+00:00
SHIB,SHIB-EUR,Bitvavo,$0.00,+0.00%,"110,838,669,553.15",N/A,12.0,2025-07-10T03:54:46.672535+00:00
FLOKI,FLOKI-EUR,Bitvavo,$0.00,+0.00%,"14,676,398,065.0",N/A,12.0,2025-07-10T03:54:46.672535+00:00
BTT,BTT-EUR,Bitvavo,$0.00,+0.00%,"10,929,844,195.0",N/A,12.0,2025-07-10T03:54:46.672535+00:00
CAT,CAT-EUR,Bitvavo,$0.00,+0.00%,"7,192,269,736.0",N/A,12.0,2025-07-10T03:54:46.672535+00:00
DOGS,DOGS-EUR,Bitvavo,$0.00,+0.00%,"2,776,832,591.93",N/A,12.0,2025-07-10T03:54:46.672535+00:00
NEIRO,NEIRO-EUR,Bitvavo,$0.00,+0.00%,"1,428,009,948.07",N/A,12.0,2025-07-10T03:54:46.672535+00:00
LUNA,LUNA-EUR,Bitvavo,$0.00,+0.00%,"868,525,329.291461",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Wrapped SOL,SOL,Jupiter,$156.38,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
USD Coin,USDC,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
USDT,USDT,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
PayPal USD,PYUSD,Jupiter,$1.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
dogwifhat,$WIF,Jupiter,$0.97,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Popcat,POPCAT,Jupiter,$0.34,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Jito Staked SOL,JitoSOL,Jupiter,$189.99,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Jupiter,JUP,Jupiter,$0.45,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Bonk,Bonk,Jupiter,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Jupiter Perps,JLP,Jupiter,$4.60,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Hyperlane,HYPER,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Bitcoin,BTC,CoinGecko,$1.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Toncoin,TON,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Manyu,MANYU,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Pudgy Penguins,PENGU,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Hyperliquid,HYPE,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Ethereum,ETH,CoinGecko,$0.02,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Bonk,BONK,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
XRP,XRP,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Sui,SUI,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Virtuals Protocol,VIRTUAL,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Ondo,ONDO,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Haedal Protocol,HAEDAL,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
FLOKI,FLOKI,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
Useless Coin,USELESS,CoinGecko,$0.00,N/A,N/A,N/A,12.0,2025-07-10T03:54:46.672535+00:00
SOL,SOL/USD,Alpaca,$156.25,+0.00%,0,N/A,12.0,2025-07-10T03:54:46.672535+00:00
ETH,ETH/USD,Alpaca,"$2,770.08",-0.08%,0.102839615,N/A,12.0,2025-07-10T03:54:46.672535+00:00
BTC,BTC/USD,Alpaca,"$111,354.13",-0.06%,0.000432305,N/A,12.0,2025-07-10T03:54:46.672535+00:00
MOOMOO THE BULL,MOOMOO,CoinMarketCap,$0.01,N/A,"1,922,909.10090563",$0.00,12.0,2025-07-10T03:54:46.672535+00:00
X Super Official CEO,MRBEAST,CoinMarketCap,$0.00,N/A,"15,570,488.10216126",$0.00,12.0,2025-07-10T03:54:46.672535+00:00
RICH THE KID,THEKID,LiveCoinWatch,$0.00,N/A,"1,566,447",N/A,12.0,2025-07-10T03:54:46.672535+00:00
X Super Official CEO,__MRBEAST,LiveCoinWatch,$0.00,N/A,"1,920,216",N/A,12.0,2025-07-10T03:54:46.672535+00:00
VALA CAPITAL MARKETS,VCM,LiveCoinWatch,$0.00,N/A,"2,277,811",N/A,12.0,2025-07-10T03:54:46.672535+00:00
The 6 Figure Stapler,STAPLER,LiveCoinWatch,$0.00,N/A,"4,939,911",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Manyu,___MANYU,LiveCoinWatch,$0.00,N/A,"12,706,182",N/A,12.0,2025-07-10T03:54:46.672535+00:00
hornyCoin,__69420,LiveCoinWatch,$0.00,N/A,"15,634,123",N/A,12.0,2025-07-10T03:54:46.672535+00:00
TANSSI,_TANSSI,LiveCoinWatch,$0.07,N/A,"34,751,666",N/A,12.0,2025-07-10T03:54:46.672535+00:00
gob,___GOB,LiveCoinWatch,$0.00,+0.68%,"2,340,605",N/A,12.0,2025-07-10T03:54:46.672535+00:00
What’s your lore,___LORE,LiveCoinWatch,$0.00,+0.96%,"2,525,701",N/A,12.0,2025-07-10T03:54:46.672535+00:00
bonkin,BONKIN,LiveCoinWatch,$0.00,+6.48%,"5,104,187",N/A,12.0,2025-07-10T03:54:46.672535+00:00
purrcy,PURRCY,LiveCoinWatch,$0.00,+1.97%,"1,685,998",N/A,12.0,2025-07-10T03:54:46.672535+00:00
DEGENS OF BONK,___________________DEGEN,LiveCoinWatch,$0.00,+2.01%,"5,908,418",N/A,12.0,2025-07-10T03:54:46.672535+00:00
McDonald's xStock,MCDX,LiveCoinWatch,$298.23,+1.02%,"12,930,824",N/A,12.0,2025-07-10T03:54:46.672535+00:00
priceless,_PRICELESS,LiveCoinWatch,$0.02,+0.58%,"2,024,731",N/A,12.0,2025-07-10T03:54:46.672535+00:00
just memecoin,___MEMECOIN,LiveCoinWatch,$0.00,+2.24%,"2,248,020",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Infinity Ground AI,__AIN,LiveCoinWatch,$0.12,+1.22%,"43,385,412",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Impossible Cloud Network Token,ICNT,LiveCoinWatch,$0.27,+1.03%,"3,173,628",N/A,12.0,2025-07-10T03:54:46.672535+00:00
祝你好运,LUCKYCOIN,LiveCoinWatch,$0.00,+1.40%,"3,614,864",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Uranus,_URANUS,LiveCoinWatch,$0.09,+0.80%,"4,581,712",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Cross,__CROSS,LiveCoinWatch,$0.14,+1.47%,"16,203,778",N/A,12.0,2025-07-10T03:54:46.672535+00:00
KIRBY,______KIRBY,LiveCoinWatch,$0.01,+1.11%,"1,609,561",N/A,12.0,2025-07-10T03:54:46.672535+00:00
DegeCoin,_DEGE,LiveCoinWatch,$0.03,+0.78%,"6,847,271",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Blum,BLUM,LiveCoinWatch,$0.06,+0.93%,"4,171,155",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Blue Chip,_BLUECHIP,LiveCoinWatch,$0.01,+1.12%,"3,059,382",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Solana Index Fund,_SIF,LiveCoinWatch,$0.00,+0.60%,"3,215,571",N/A,12.0,2025-07-10T03:54:46.672535+00:00
Fragmetric,__FRAG,LiveCoinWatch,$0.06,+0.97%,"18,333,551",N/A,12.0,2025-07-10T03:54:46.672535+00:00
