Exchange,Name,Symbol,Price USD,Price EUR,24h Change %,Volume,Market Cap
Bitvavo,MOG,MOG-EUR,,1.3337e-06,0,891650780997.0,
Bitvavo,PEPE,PEPE-EUR,,1.0732e-05,0,631238902148.0,
Bitvavo,BONK,BONK-EUR,,1.9857e-05,0,185595362955.0,
Bitvavo,SHIB,SHIB-EUR,,1.1389e-05,0,125750729395.89,
Bitvavo,CAT,CAT-EUR,,6.8376e-06,0,18258394793.0,
Bitvavo,FLOKI,FLOKI-EUR,,8.5868e-05,0,17414822707.0,
Bitvavo,BTT,BTT-EUR,,6.145e-07,0,12566949973.0,
Bitvavo,DOGS,DOGS-EUR,,0.00013309,0,3488931447.4,
Bitvavo,NEIRO,NEIRO-EUR,,0.00044956,0,2350071381.99,
Bitvavo,LUNA,LUNA-EUR,,5.4144e-05,0,2203714223.303712,
Jupiter,Wrapped SOL,SOL,164.0049975,,,,
Jupiter,USD Coin,USDC,1.000007,,,,
Jupiter,USDT,USDT,1.000347,,,,
Jupiter,PayPal USD,PYUSD,1.000535,,,,
Jupiter,dogwifhat,$WIF,1.016733,,,,
Jupiter,Popcat,POPCAT,0.373687253,,,,
Jupiter,Jito Staked SOL,JitoSOL,199.279677372,,,,
Jupiter,Jupiter,JUP,0.489128,,,,
Jupiter,Bonk,Bonk,2.33126e-05,,,,
Jupiter,Jupiter Perps,JLP,4.744722,,,,
CoinGecko,Toncoin,TON,2.4954589556371328e-05,,,,
CoinGecko,Bitcoin,BTC,1.0,,,,
CoinGecko,Omni Network,OMNI,3.697680980577049e-05,,,,
CoinGecko,Pudgy Penguins,PENGU,1.8225883874871575e-07,,,,
CoinGecko,Manyu,MANYU,3.265854010758501e-13,,,,
CoinGecko,Hyperlane,HYPER,4.68994304108219e-06,,,,
CoinGecko,Ethena,ENA,2.950569066356359e-06,,,,
CoinGecko,Hyperliquid,HYPE,0.00039004967865827856,,,,
CoinGecko,Solana,SOL,0.0014004797677975693,,,,
CoinGecko,Sui,SUI,2.954276004627255e-05,,,,
CoinGecko,Coq Inu,COQ,4.591481763072789e-12,,,,
CoinGecko,Ethereum,ETH,0.02552480468446415,,,,
CoinGecko,Resolv,RESOLV,1.733254559019681e-06,,,,
CoinGecko,Pi Network,PI,4.288001849399033e-06,,,,
CoinGecko,Arbitrum,ARB,3.553362502763316e-06,,,,
Alpaca,SOL,SOL/USD,163.925,,0.040583796385307506,0,
Alpaca,ETH,ETH/USD,2993.635,,0.0,0,
Alpaca,BTC,BTC/USD,117724.205,,-0.09937008164811378,0.00525135,
CoinMarketCap,Startup,STARTUP,0.03311739690532925,,,3216826.64218881,0
CoinMarketCap,MOOMOO THE BULL,MOOMOO,0.017335028425739717,,,7635848.43898391,0
CoinMarketCap,X Super Official CEO,MRBEAST,0.0010389178994674253,,,12269733.71739054,0
LiveCoinWatch,@TrumpEpsteinBot,EPSTEINBOT,0.00013033257532297257,,,2320829,
LiveCoinWatch,oke,OKE,0.0006480806371284425,,,9712903,
LiveCoinWatch,Lazer Eyez,LZR,0.0028345605442742007,,,20733483,
LiveCoinWatch,hornyCoin,__69420,0.0005795420855218308,,0.3937,2684932,
LiveCoinWatch,X Super Official CEO,__MRBEAST,0.0010550472674956226,,0.4296,2714676,
LiveCoinWatch,Manyu,___MANYU,3.727437509551673e-08,,0.9472,9742610,
LiveCoinWatch,roger,_ROGER,0.0023083636047810563,,3.6561,13494205,
LiveCoinWatch,TANSSI,_TANSSI,0.06911266451117934,,0.8561,40984851,
LiveCoinWatch,Children Of The Sky,COTS,0.01185175057719206,,0.8446,1501609,
LiveCoinWatch,What’s your lore,___LORE,0.000584323477164739,,0.8507,1594602,
LiveCoinWatch,bonkin,BONKIN,0.0010678970154870764,,1.4149,2519571,
LiveCoinWatch,Palio,________PAL,0.017068189064739867,,1.0306,1557548,
LiveCoinWatch,McDonald's xStock,MCDX,298.2228144910435,,1.0173,14873215,
LiveCoinWatch,Infinity Ground AI,__AIN,0.15849023297091475,,1.615,75286018,
LiveCoinWatch,祝你好运,LUCKYCOIN,0.0044889683194000995,,1.1341,3497741,
LiveCoinWatch,Impossible Cloud Network Token,ICNT,0.2974198628719695,,1.0434,3769529,
LiveCoinWatch,Uranus,_URANUS,0.0896083046609662,,0.8864,4735643,
LiveCoinWatch,Cross,__CROSS,0.18215202946853526,,1.4027,29171729,
LiveCoinWatch,KIRBY,______KIRBY,0.011763102666137719,,1.1477,1567729,
LiveCoinWatch,DegeCoin,_DEGE,0.032166483701944845,,1.0766,7253433,
LiveCoinWatch,Robinhood xStock,HOODX,97.06647996728638,,1.0197,25674330,
LiveCoinWatch,Blum,BLUM,0.06073500146842909,,0.8968,4397619,
LiveCoinWatch,Blue Chip,_BLUECHIP,0.008626495337107439,,0.8275,2958604,
LiveCoinWatch,Solana Index Fund,_SIF,0.00028453189375884154,,0.7138,3994089,
LiveCoinWatch,Fragmetric,__FRAG,0.06495592278017213,,1.0247,26433887,
LiveCoinWatch,Meta xStock,__METAX,726.7528782741095,,0.9757,28593088,
LiveCoinWatch,Amazon.com xStock,AMZNX,223.38244116164074,,1.0067,28887803,
LiveCoinWatch,Alphabet xStock,GOOGLX,177.48983682458487,,1.0017,29435903,
LiveCoinWatch,MicroStrategy xStock,MSTRX,427.5412040747353,,1.0328,14337056,
LiveCoinWatch,SP500 xStock,SPYX,625.4294812017923,,1.0045,18025343,
LiveCoinWatch,Circle xStock,CRCLX,202.97796889401724,,1.0068,23972170,
LiveCoinWatch,Coinbase xStock,COINX,395.8794289504452,,1.0573,27221147,
LiveCoinWatch,Apple xStock,AAPLX,212.14638373175308,,1.0079,28091114,
LiveCoinWatch,NVIDIA xStock,NVDAX,163.7039918676366,,1.0038,31566302,
LiveCoinWatch,Tesla xStock,TSLAX,311.0729718406229,,1.0471,33726250,
LiveCoinWatch,NodeOps,___NODE,0.046458659832220355,,1.0195,42260872,
LiveCoinWatch,Solaxy,_____SOLX,0.0007730260581506306,,0.892,3329551,
LiveCoinWatch,Monke Phone,MONKEPHONE,0.0012815964057346198,,0.5658,2010052,
LiveCoinWatch,BORED DRAGON TOKEN,________BDT,6.633122720042444,,0.6603,4695270,
LiveCoinWatch,MORI COIN,_MORI,0.1387282195960472,,0.8269,5164350,
LiveCoinWatch,Moonveil,_______MORE,0.03156590199553573,,0.9477,8129072,
LiveCoinWatch,CESSToken,CESS,0.004275685435235939,,1.1116,4809764,
LiveCoinWatch,Humanity,_H,0.05833015156417976,,1.1829,83801463,
LiveCoinWatch,Sahara AI,SAHARA,0.07972797758636072,,1.0401,244210869,
LiveCoinWatch,ALVIDO,ALVIDOTOKEN,0.00021576221121863103,,7.7162,5198090,
LiveCoinWatch,DeLorean,_________DMC,0.005969480391130531,,1.0609,5705176,
LiveCoinWatch,Mango Network,__MGO,0.01191361957128914,,1.0578,6611920,
LiveCoinWatch,Newton Protocol,_NEWT,0.3372470678015495,,1.0921,95867943,
LiveCoinWatch,UPTOP,UPTOP,0.03181976609674135,,1.0164,9884114,
LiveCoinWatch,Redbrick,BRIC,0.009102304801416742,,1.017,1579335,
LiveCoinWatch,EstateX,ESX,0.01710012478621858,,1.0184,2517557,
LiveCoinWatch,WEEX Token,_WXT,0.0312287030368035,,1.0331,5585906,
LiveCoinWatch,League of Traders,_LOT,0.021646379380447674,,1.0084,1517746,
LiveCoinWatch,OpenVision,_____VISION,0.005206276475349475,,1.1889,7701036,
LiveCoinWatch,Nura Labs,NURA,0.00046965078711489643,,0.8993,5750952,
LiveCoinWatch,Gorbagana,__GOR,0.016105315904766163,,0.9354,14946809,
LiveCoinWatch,Bombie,___________BOMB,0.0008002030223958609,,1.0104,6238543,
LiveCoinWatch,Spark,___SPK,0.03456597465490275,,1.1238,69305549,
LiveCoinWatch,NovaTrade,NRWA,4.582070158912995,,1.0397,2482480,
LiveCoinWatch,KAI: Battle of Three Kingdoms,SGC,0.0005988107016756056,,0.9998,7887399,
LiveCoinWatch,I.R.I.S by Virtuals,__IRIS,0.010659824353303617,,0.9123,9527476,
LiveCoinWatch,MEET48 Token,__IDOL,0.015518081813701106,,1.0661,35610925,
LiveCoinWatch,Torch of Liberty,_LIBERTY,0.05646163535434044,,1.1688,37404645,
LiveCoinWatch,Defi App,____HOME,0.02274828394605131,,1.0776,22830133,
