symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
DOGE,Dogen,dogen-ethereum,2025-07-11T17:01:36.000Z,2.94,2.68736319411e-13,0.0,88709.57949723,-4.39570226,-4.39570226,-4.39570226,binance
ALT,Altcoin,altcoin-ethereum,2025-07-10T13:11:58.000Z,30.76,1.12170777009e-13,0.0,72963.66771108,-74.27350989,-8.70437783,-55.84642258,binance
ALT,Altcoin,altcoin-fun,2025-07-08T14:06:47.000Z,77.85,0.07031084013458999,0.0,18805667.31499979,23.91786288,-0.67687327,350.10054229,binance
SAHARA,Sahara AI,sahara-ai,2025-06-26T12:00:00.000Z,367.96,0.07982086125086613,162834556.9517669,165115576.5286575,3.62498292,0.73044379,-2.61005551,binance
TRUMP,Mubarak Trump,mubarak-trump,2025-06-19T08:16:44.000Z,539.68,2.1212955788882657e-05,0.0,51014.52724202,374.10474243,32.0025486,1373.47114922,binance
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,546.06,0.336292552632194,72302898.81592171,89738744.21055935,2.81936568,0.61255064,-2.07729776,binance
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,700.21,0.008038280284123173,8036445.377844436,7457952.46064145,-14.29372334,-0.3452413,8.47873656,binance
RESOLV,Resolv,resolv,2025-06-04T08:26:04.000Z,899.53,0.19658897126290426,30618732.274197336,447099184.0545109,35.88865521,-2.08097235,39.35823553,binance
D,D,d,2025-05-29T07:57:20.000Z,1044.01,2.9876889732177572e-05,0.0,192551.45187236,40.0393146,0.28513906,1794.4895207,binance
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1066.16,0.556798203184427,878198755.18347,87536722.70344037,4.2971652,1.1843311,16.14329399,binance
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1112.96,0.04135915460877623,71689201.30809242,114720889.44237085,6.3325083,0.54622377,32.14646357,binance
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1235.9,0.03518138433984988,34356052.98120237,96341015.57711835,7.99506394,0.68696216,12.81332168,binance
TURBO,TURBO BOME,turbo-bome,2025-05-20T06:36:03.000Z,1261.36,1.9323461350810007e-05,0.0,286778.21096332,-45.81865029,-4.10122173,296.90947476,binance
LA,Lagrange,lagrange,2025-05-15T07:24:08.000Z,1380.56,0.3934238036230169,75930794.09924226,173674834.39854303,-4.71092932,-0.35877667,-20.92531889,binance
HYPER,Hyperpigmentation,hyperpigmentation,2025-05-06T10:13:57.000Z,1593.73,0.012173423204543394,12132599.612175493,101810.07985699,0.43261029,3.31219754,-19.97681375,binance
RED,RED,redfuture,2025-05-06T07:51:49.000Z,1596.1,1471.1001452497042,0.0,24152.41712901,-0.89628975,-1.22904093,-0.79216691,binance
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.46,0.0851658952701926,119232253.37826963,42710785.64656714,1.16571434,0.63594599,23.28460092,binance
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1760.96,0.16535909282980438,35138807.22633343,104032237.87564845,5.02547881,1.27023488,37.49843251,binance
TRUMP,TRUMP MOG (trumpmog.me),trump-mog,2025-04-29T08:39:17.000Z,1763.31,0.0020876608963520393,0.0,180688.69757226,55.46056662,14.41736015,1213.64946866,binance
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.64,0.07486090448557665,89833085.38269198,36109554.34728391,9.79009285,-0.25787489,14.8346176,binance
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2050.93,0.5122695580377412,81614945.07012196,269954278.3205208,18.07178245,2.43199175,26.3899333,binance
PEPE,PEPE AI (pepeai.one),pepeai-one,2025-04-17T06:34:41.000Z,2053.38,0.00010819083802317945,0.0,340465.79681448,184.2080746,-4.55834859,-86.78993396,binance
TRUMP,PEPE TRUMP (pepetrump.cc),pepetrump-cc,2025-04-17T06:31:45.000Z,2053.43,1.619942381897783e-08,0.0,1811664.60446923,-92.7531235,63.06691651,-60.36774592,binance
HYPER,Hyperlane,hyperlane,2025-04-16T09:27:48.000Z,2074.5,0.5293706142128035,92745731.61008318,2020744198.1840925,10.0983865,-2.7252347,415.53972659,binance
