symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
ALT,Altcoin,altcoin-ethereum,2025-07-10T13:11:58.000Z,28.93,1.38089659146e-13,0.0,79640.10199929,-69.33287384,-1.05495842,-45.6440205,binance
ALT,Altcoin,altcoin-fun,2025-07-08T14:06:47.000Z,76.01,0.06944425180656559,0.0,17943798.03223977,23.29550773,-11.43019932,344.55300687,binance
SAHARA,Sahara AI,sahara-ai,2025-06-26T12:00:00.000Z,366.13,0.07846500642643733,160068613.10993215,167371110.75027123,3.92595422,-2.03888053,-5.23861732,binance
TRUMP,Mubarak Trump,mubarak-trump,2025-06-19T08:16:44.000Z,537.85,1.1851526935061605e-05,0.0,50875.97541658,-71.0920405,400.26074432,111.37116171,binance
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,544.22,0.33229224356625275,71442832.36674434,90086472.24321292,3.60216237,-1.51699513,-1.53443454,binance
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,698.37,0.008155958723396289,8154096.95454254,7264478.03922801,-1.56494374,-4.04004577,9.99689737,binance
RESOLV,Resolv,resolv,2025-06-04T08:26:04.000Z,897.69,0.19362553845885444,30157177.61496658,429223184.3513573,37.65301329,-4.33286018,35.19975089,binance
D,D,d,2025-05-29T07:57:20.000Z,1042.17,2.9642761504837854e-05,0.0,189280.73301747,41.27035304,1.59003028,2004.08789298,binance
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1064.33,0.5492799699678904,866335168.7625519,86259635.78574836,5.86369415,-0.47194973,15.00283798,binance
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1111.13,0.04083346260149929,70778001.82898761,122722641.4463649,15.82230073,-1.58169447,28.89969814,binance
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1234.07,0.03439990421513976,33584287.30757331,96461424.13954109,11.13237342,-1.06209455,10.39056791,binance
TURBO,TURBO BOME,turbo-bome,2025-05-20T06:36:03.000Z,1259.53,2.481302785142773e-05,0.0,287620.36566173,-28.92157251,-33.56149085,214.01579799,binance
LA,Lagrange,lagrange,2025-05-15T07:24:08.000Z,1378.72,0.3936549726409721,75975409.71970761,184372009.85295504,-5.01033299,-1.76454482,-21.78604014,binance
HYPER,Hyperpigmentation,hyperpigmentation,2025-05-06T10:13:57.000Z,1591.89,0.011721996155046047,11682686.423943205,96730.96086646,5.43995682,-1.8647062,-23.27109373,binance
RED,RED,redfuture,2025-05-06T07:51:49.000Z,1594.26,1483.9254310848632,0.0,24604.98374244,-0.80318211,-0.26514944,-0.59437738,binance
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1690.63,0.08422372792002034,117913219.08802848,45704333.45733064,-1.75319468,-4.19504306,20.88332099,binance
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1759.13,0.1625682072609904,34545744.04296046,110716093.56117769,6.70531081,-2.45285826,34.19115638,binance
TRUMP,TRUMP MOG (trumpmog.me),trump-mog,2025-04-29T08:39:17.000Z,1761.47,0.0018543574966959984,0.0,162343.16865021,30.96870498,-1.14992437,983.31043489,binance
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1851.81,0.07515612439727117,90187349.2767254,35041102.52680738,10.28345149,0.19645571,15.97496443,binance
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2049.09,0.4861330252977005,77449823.13567622,269732672.8480112,20.59590226,-2.01581521,19.71193036,binance
PEPE,PEPE AI (pepeai.one),pepeai-one,2025-04-17T06:34:41.000Z,2051.55,0.00011648831913954015,0.0,341920.27987846,219.28918652,-1.54203289,-82.8032634,binance
TRUMP,PEPE TRUMP (pepetrump.cc),pepetrump-cc,2025-04-17T06:31:45.000Z,2051.6,1.4727984660339782e-07,0.0,1855842.84739771,-36.14478139,-72.9073271,266.68597884,binance
HYPER,Hyperlane,hyperlane,2025-04-16T09:27:48.000Z,2072.66,0.5257818222202105,92116975.25298089,2164471432.888292,9.59283499,-1.66982553,412.17599398,binance
USD1,World Liberty Financial USD,usd1,2025-04-13T05:37:56.000Z,2148.49,0.9997933461344454,2208390552.225105,666983503.972926,-0.02994212,-0.01889501,-0.06465805,binance
KERNEL,KernelDAO,kerneldao,2025-04-01T13:15:11.000Z,2428.87,0.14765292509375832,24372356.80578066,102940923.34544203,18.13848527,-0.33962263,43.80932827,binance
TRUMP,MAGA TRUMP (magatrumpcoin.com),magatrumpcoin-com,2025-03-28T03:51:29.000Z,2534.27,0.0001227089556439496,0.0,1589122.71790727,-96.18415049,-35.89986553,-84.36362245,binance
GUN,GUNZ,gunz,2025-03-27T13:48:37.000Z,2548.32,0.034482976270509134,32914000.85020097,42469779.19048396,6.12859918,-0.82356213,13.10695602,binance
HOME,Defi App,defi-app,2025-03-26T08:40:47.000Z,2577.45,0.02267778057066567,61683563.15221062,35871847.21017219,6.50568415,-1.37298004,17.64115492,binance
MUBARAK,Mubarak(mubarakcoin.link),mubarak-coin,2025-03-25T14:21:53.000Z,2595.76,0.0032088965796014286,0.0,222665.60911126,8.97334935,-3.88891313,-75.00769572,binance
PARTI,Particle Network,particle-network,2025-03-24T02:22:29.000Z,2631.75,0.2080495402009892,48475542.86683048,87274962.08915837,15.89045676,-0.71884731,21.02409823,binance
NXPC,NEXPACE,maplestory-universe,2025-03-17T06:30:59.000Z,2795.61,1.0449193187983041,194273210.59616017,109353984.01032184,14.03808898,-0.89987003,15.20540043,binance
MUBARAK,Mubarak,mubarak,2025-03-16T12:53:38.000Z,2813.23,0.046601020364618474,46601020.36461847,106341691.609561,8.47529049,-2.78644846,25.92851343,binance
FORM,Form,form,2025-02-28T03:49:27.000Z,3206.3,0.00016769761619323607,0.0,285138.96541331,66.07696362,11.09411544,15.29584716,binance
