symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
SAHARA,Sahara AI,sahara-ai,2025-06-26T12:00:00.000Z,367.59,0.08008271540837063,163368739.43307608,165842078.42297924,4.3127053,1.51987505,-2.12549148,binance
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,545.69,0.33588552095923646,72215387.00623584,89855100.93055306,2.81523334,0.55915628,-0.95970285,binance
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,699.84,0.008026409412140636,8024577.215637717,7456156.25258536,-8.16372167,-1.22561552,10.12004768,binance
RESOLV,Resolv,resolv,2025-06-04T08:26:04.000Z,899.16,0.1988929562923887,30977577.94253954,445427660.5004432,37.25244066,0.1949696,40.40360349,binance
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1065.79,0.555511859358937,876169895.2844572,88172565.49154024,4.48132719,0.75058866,16.22349445,binance
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1112.59,0.04149238698796491,71920137.43197505,116279296.98230384,9.77955686,0.75237768,33.30166714,binance
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1235.53,0.03523397547051433,34407410.35969537,96767023.27683003,8.65630198,0.97289417,13.34870618,binance
LA,Lagrange,lagrange,2025-05-15T07:24:08.000Z,1380.19,0.39547642962147406,76326950.91694449,175653070.13842595,-4.5276319,0.2917063,-20.67905588,binance
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.09,0.08483908511274506,118774719.15784308,42863073.40585246,1.02292664,0.32627136,23.3843586,binance
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1760.59,0.16613740425265644,35304198.403689496,105185584.94914947,7.39270136,1.99460678,38.55025171,binance
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.27,0.07500543775622188,90006525.30746627,36062126.30774056,9.78081495,-0.47770777,15.07394457,binance
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2050.56,0.5059184492034268,80602721.59811033,270638103.7806011,19.45156568,1.95674796,25.86355357,binance
HYPER,Hyperlane,hyperlane,2025-04-16T09:27:48.000Z,2074.13,0.5285922753301254,92609366.63783798,2064614116.1203926,4.61923678,0.78490181,416.27616163,binance
USD1,World Liberty Financial USD,usd1,2025-04-13T05:37:56.000Z,2149.96,0.9999001305755256,2208626422.7194605,668538014.80095,-0.01643691,-0.00615519,-0.03930338,binance
KERNEL,KernelDAO,kerneldao,2025-04-01T13:15:11.000Z,2430.34,0.14816924214240845,25491672.65690571,100862998.87264489,16.50812214,-0.18463671,46.5907366,binance
GUN,GUNZ,gunz,2025-03-27T13:48:37.000Z,2549.78,0.034794180807593875,33211045.580848355,42371236.06378616,4.08133519,0.92036955,12.76487741,binance
HOME,Defi App,defi-app,2025-03-26T08:40:47.000Z,2578.91,0.022973548126661397,62488050.904519,36068991.23131601,5.94965606,0.99198353,19.34082643,binance
PARTI,Particle Network,particle-network,2025-03-24T02:22:29.000Z,2633.22,0.21287448804101042,49599755.713555425,95780666.33020602,18.81952421,0.18920227,26.24738771,binance
NXPC,NEXPACE,maplestory-universe,2025-03-17T06:30:59.000Z,2797.08,1.0692804729146828,198802478.58735737,110422803.92553267,13.411283,1.33338143,17.95925024,binance
MUBARAK,Mubarak,mubarak,2025-03-16T12:53:38.000Z,2814.7,0.047138154448694,47138154.448694,103418766.46033585,6.30777621,-0.13119383,29.36670371,binance
TUT,Tutorial,tutorial,2025-02-26T10:44:14.000Z,3248.85,0.06099019686535768,51114655.89188056,47488730.85766569,1.55823726,-1.38638529,-0.25041092,binance
KAITO,KAITO,kaito,2025-02-14T13:09:33.000Z,3534.43,1.7015791164378489,410742292.46253395,83380116.41867948,10.01765138,1.51177017,13.25082781,binance
HEI,Heima,heima,2025-02-12T06:52:06.000Z,3588.72,0.32400753153972395,24848237.388101146,25051056.6273413,13.85318083,3.90867768,21.96253436,binance
SHELL,MyShell,myshell,2025-02-12T03:34:17.000Z,3592.02,0.16897476320904142,48890031.488480404,36923647.90389247,7.23615374,0.04560932,22.17487768,binance
NIL,Nillion,nillion,2025-02-11T10:24:28.000Z,3609.18,0.33086114439582975,64567552.32884618,31412058.24952171,4.53391049,0.40234708,19.20400285,binance
TST,Test,test-token-bsc,2025-02-07T09:34:08.000Z,3706.02,0.04931566995743404,46694661.36975344,77328736.79418625,15.40207324,-0.55421183,20.21585482,binance
BERA,Berachain,berachain,2025-02-06T13:00:00.000Z,3726.59,2.0905146988814702,251834329.44562858,136225328.83586824,12.62676106,0.74779678,28.12164082,binance
ANIME,Animecoin,anime,2025-01-23T14:00:00.000Z,4061.59,0.018529932142567988,102629968.4401911,51071043.74114418,9.03400177,1.04725348,11.84469645,binance
LAYER,Solayer,solayer,2025-01-23T10:38:59.000Z,4064.94,0.672040447777637,141128494.03330377,58938880.1434854,5.31761836,0.76353529,9.60371441,binance
TRUMP,OFFICIAL TRUMP,official-trump,2025-01-18T04:19:35.000Z,4191.27,10.198608065030587,2039714852.1017902,894026185.018814,6.78109701,0.80647756,19.53201597,binance
GPS,GoPlus Security,goplus-security,2025-01-16T08:01:34.000Z,4235.57,0.025025952263431066,40948498.37157415,11743064.91795303,6.42847205,0.04510314,5.66375139,binance
BMT,Bubblemaps,bubblemaps,2025-01-13T17:13:31.000Z,4298.37,0.09007609325543654,32933421.517353963,72148221.44389836,4.697828,-0.16496307,-33.44989383,binance
S,Sonic,sonic,2025-01-03T14:11:26.000Z,4541.4,0.3666283653637633,1055889692.2476383,270994775.47749215,12.56189386,2.56980264,20.18878009,binance
BIO,Bio Protocol,bio,2024-12-23T08:13:52.000Z,4811.36,0.06575084987786378,104196056.25464779,52146531.07107096,7.43979274,0.80120966,32.28388486,binance
PENGU,Pudgy Penguins,pudgy-penguins,2024-12-17T14:00:00.000Z,4949.59,0.023292173455305862,1464155249.198442,1314500180.550708,21.86940644,8.89172422,45.46249792,binance
VANA,Vana,vana,2024-12-13T12:20:10.000Z,5047.26,5.093930432897264,153245803.14328128,35863172.00840513,9.58500869,1.04237106,22.97651437,binance
BANANAS31,Banana For Scale,banana-for-scale,2024-11-20T18:19:27.000Z,5593.27,0.022928682407656505,229286824.07656506,611887188.8224741,-20.67889834,-5.02894602,61.53225637,binance
AVA,AVA,ava-sol,2024-11-20T13:48:04.000Z,5597.79,0.037888852698133586,37888628.01723709,5810071.21385673,7.8927265,0.85936942,35.55125435,binance
AIXBT,aixbt,aixbt,2024-11-20T08:37:44.000Z,5602.96,0.1588153383482855,151424661.81159627,132585212.43196718,5.31714208,1.15577335,27.15749901,binance
RIF,Rifampicin,rifampicin,2024-11-20T04:16:52.000Z,5607.31,0.0024187889228041385,2417870.2434835667,1761820.54989621,3.63172322,1.26662645,13.01307224,binance
USUAL,Usual,usual,2024-11-14T12:01:40.000Z,5743.56,0.09042171530512937,95786666.36548774,93111054.5929096,22.12360697,-1.27138815,41.08496522,binance
SYRUP,Maple Finance,maple-finance,2024-11-06T06:16:40.000Z,5941.31,0.5460951364709681,655442483.3059964,195266250.3824083,12.85120881,0.42243206,1.59701573,binance
PNUT,Peanut the Squirrel,peanut-the-squirrel,2024-11-04T02:00:00.000Z,5993.59,0.2896874667561448,289644620.0848749,413721185.5400177,5.64428232,1.08584219,31.51644939,binance
KAIA,Kaia,kaia,2024-10-29T05:17:50.000Z,6134.29,0.15949005187676374,967361694.4450257,61897036.68572937,3.55888636,0.22384764,4.15311869,binance
ACT,Act I : The AI Prophecy,act-i-the-ai-prophecy,2024-10-22T14:22:27.000Z,6293.22,0.04534740387187554,43000440.87431421,68977110.7054498,6.52343505,1.07850136,15.75990407,binance
LUMIA,Lumia,lumia,2024-10-17T03:48:13.000Z,6423.79,0.3339944938683322,42061698.47409535,67310761.19575691,35.80348039,-2.84052111,57.1831923,binance
WCT,WalletConnect Token,walletconnect-token,2024-09-24T15:24:51.000Z,6964.18,0.34758472814481467,64720276.38056449,105759403.15992147,6.03719547,0.43064304,16.92459967,binance
CATI,Catizen,catizen,2024-09-13T11:21:56.000Z,7232.23,0.09121876703179092,29718162.111287165,29926551.81913214,0.25519057,0.71436665,15.8730323,binance
SLF,Self Chain,self-chain,2024-08-30T07:47:08.000Z,7571.81,0.06611477465362123,11041167.367154745,14616481.29349033,3.27968616,-0.19276307,-14.76040827,binance
DOGS,DOGS,dogs,2024-08-26T12:00:00.000Z,7663.59,0.0001553789894059177,80292092.77550797,29047847.32601583,7.18927905,0.71316532,25.61565098,binance
EURI,Eurite,eurite,2024-08-26T07:13:12.000Z,7668.37,1.1706107668635441,60486765.10617523,41958359.81576942,0.19386377,-0.00050738,-0.60742348,binance
