symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
ICNT,Impossible Cloud Network,impossible-cloud-network,2025-07-02T03:41:23.000Z,232.26,0.28751715586357796,48080390.484221935,73339121.36362971,0.93571669,0.19584283,9.79683105,bitvavo
DMC,DeLorean,delorean,2025-06-24T11:00:00.000Z,416.95,0.005984038261369804,16207647.950154888,20285323.387451,0.1014161,1.68648453,-20.06537119,bitvavo
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,546.05,0.33630785437746546,72306188.69115508,89754954.44734396,2.82103205,0.57174613,-2.04448418,bitvavo
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,700.2,0.008033710498515922,8031876.635386716,7461338.84279565,-14.46989612,-0.08862689,9.0733024,bitvavo
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1066.15,0.5553132429631867,875856631.573279,87439649.66738676,4.334744,0.91701053,15.83976143,bitvavo
ZEUS,Pepes Dog,pepes-dog,2025-05-26T12:39:03.000Z,1111.3,2.3581576395492868e-08,9920533.373819895,2384418.69620235,-22.20932763,-1.97485386,-10.78451206,bitvavo
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1112.95,0.04136340727499457,71696572.59620278,114837488.98186447,6.35147025,0.55656222,32.31926128,bitvavo
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1235.89,0.03518212406489924,34356775.35280497,96368413.31279387,7.95824153,0.73855999,12.81908374,bitvavo
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.45,0.08517598101778788,119246373.42490304,42714901.30869556,1.24423678,0.63179762,23.33162187,bitvavo
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1760.96,0.1654800615219524,35164513.073414885,104142717.87270425,5.47613011,1.28178593,37.72824631,bitvavo
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.63,0.07486236827458083,89834841.92949699,36114546.55720493,9.80374888,-0.29165213,14.86411598,bitvavo
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2050.92,0.5124753821088948,81647737.02505611,270011486.06529903,17.98686373,2.53237709,26.68889269,bitvavo
KERNEL,KernelDAO,kerneldao,2025-04-01T13:15:11.000Z,2430.7,0.14858130560653468,25562565.824674502,99670313.74627022,18.21670185,0.9565619,45.58956409,bitvavo
HOME,Defi App,defi-app,2025-03-26T08:40:47.000Z,2579.27,0.022922266248641406,62348564.19630463,36013959.18766501,5.60249463,0.39541677,18.89038018,bitvavo
WAL,Walrus,walrus-xyz,2025-03-26T06:11:29.000Z,2581.76,0.4129063289736425,570154822.4534693,68699913.22174476,2.30846032,0.30128603,1.30465392,bitvavo
PARTI,Particle Network,particle-network,2025-03-24T02:22:29.000Z,2633.58,0.20972470365925455,48865855.95260631,96290632.72518659,16.7507469,-1.55973669,23.64444351,bitvavo
KAITO,KAITO,kaito,2025-02-14T13:09:33.000Z,3534.79,1.7029711493039723,411078313.729539,83190130.10256642,9.38288225,1.32737399,12.4369346,bitvavo
HEI,Heima,heima,2025-02-12T06:52:06.000Z,3589.09,0.3202190540227422,24557697.88047274,25238172.64700214,11.53258673,1.51479334,20.39829402,bitvavo
SHELL,MyShell,myshell,2025-02-12T03:34:17.000Z,3592.38,0.16946394685707936,49031568.623979375,36334258.08384271,7.45340618,0.60276598,21.77897942,bitvavo
NIL,Nillion,nillion,2025-02-11T10:24:28.000Z,3609.55,0.33177982658035743,64746833.15715675,31487417.45782966,4.71252469,0.32344072,18.71369359,bitvavo
IP,Story,story-protocol,2025-02-06T07:02:40.000Z,3732.91,4.428898571696376,1269929510.497868,139717382.17189363,34.22779058,2.85973331,51.65308483,bitvavo
ANIME,Animecoin,anime,2025-01-23T14:00:00.000Z,4061.95,0.0186065438928547,103054290.6370334,51126588.42899856,8.71056443,1.32615504,11.88033937,bitvavo
PLUME,Plume,plume,2025-01-20T17:00:10.000Z,4130.95,0.1136043151956445,227208630.391289,51659780.23227192,6.96354204,1.21676608,5.83887596,bitvavo
