symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
ICNT,Impossible Cloud Network,impossible-cloud-network,2025-07-02T03:41:23.000Z,232.13,0.2871871582303668,48025206.24655095,73081916.264025,0.74418924,1.69611467,10.92019853,bitvavo
DMC,DeLorean,delorean,2025-06-24T11:00:00.000Z,416.82,0.005919546048061628,16032972.080253959,20169695.9794319,-1.54842929,0.99372834,-21.46606111,bitvavo
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,545.92,0.33567771203167496,72170708.08681011,89750259.51309332,2.8542507,0.47285162,-1.97411529,bitvavo
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,700.07,0.007932151845805544,7930341.16557155,7415267.19354995,-13.71219384,-0.20434777,6.83607603,bitvavo
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1066.02,0.5549800094826567,875331045.7755641,87928799.37309256,4.30464073,0.68410259,15.87156208,bitvavo
ZEUS,Pepes Dog,pepes-dog,2025-05-26T12:39:03.000Z,1111.17,2.3639209766185318e-08,9944779.1565365,2384602.72939994,-21.62378244,-0.33863183,-9.59761519,bitvavo
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1112.82,0.04133938280846976,71654930.18756779,115387340.5630458,7.008385,0.64982217,32.36414869,bitvavo
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1235.76,0.03513180952938675,34307641.16208941,96592284.96908207,8.113853,0.75195383,12.62461037,bitvavo
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.32,0.08477363052782565,118683082.7389559,42686751.57454123,1.07699212,0.41142177,22.86130899,bitvavo
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1760.82,0.16533042878764415,35132716.11737438,104675919.05408385,7.10947703,1.21503684,37.96355683,bitvavo
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.5,0.07470496209089586,89645954.50907503,36119267.55050077,9.49403389,-0.55518984,14.62632813,bitvavo
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2050.79,0.5060918035551977,80630703.30748272,270094580.41011715,18.51787689,1.88653376,25.17196684,bitvavo
KERNEL,KernelDAO,kerneldao,2025-04-01T13:15:11.000Z,2430.57,0.14774450473969802,25418599.010321,99857672.74739033,17.53802105,-0.89413441,45.54042827,bitvavo
HOME,Defi App,defi-app,2025-03-26T08:40:47.000Z,2579.14,0.022933572281370322,62379316.60532728,36022142.67490768,5.66668718,0.73392888,19.14571646,bitvavo
WAL,Walrus,walrus-xyz,2025-03-26T06:11:29.000Z,2581.63,0.4127781804471199,569977870.696472,68687888.22308159,2.57316316,0.29255225,1.44483965,bitvavo
PARTI,Particle Network,particle-network,2025-03-24T02:22:29.000Z,2633.45,0.21056875307513667,49062519.466506846,96196540.14960688,17.38638669,-0.23795415,24.69412104,bitvavo
KAITO,KAITO,kaito,2025-02-14T13:09:33.000Z,3534.66,1.697671424305021,409799019.00003666,83178293.32357404,9.47287296,1.24703197,12.21942097,bitvavo
HEI,Heima,heima,2025-02-12T06:52:06.000Z,3588.95,0.32319484028171,24785911.84521515,25151600.59428361,13.33161002,2.33363155,21.59134025,bitvavo
SHELL,MyShell,myshell,2025-02-12T03:34:17.000Z,3592.25,0.1686449947715673,48794618.48723789,36401033.87204701,6.89129644,0.24077897,21.35348656,bitvavo
NIL,Nillion,nillion,2025-02-11T10:24:28.000Z,3609.41,0.3314410175889132,64680714.582476415,31486483.20329084,4.71753934,0.80883032,18.68320727,bitvavo
IP,Story,story-protocol,2025-02-06T07:02:40.000Z,3732.78,4.363761014393009,1251252156.5413046,138885887.42495814,32.66600764,1.45123884,49.50043515,bitvavo
ANIME,Animecoin,anime,2025-01-23T14:00:00.000Z,4061.82,0.018567516259042016,102838132.00268582,51139818.77407261,8.90072911,1.43196246,11.81560163,bitvavo
PLUME,Plume,plume,2025-01-20T17:00:10.000Z,4130.82,0.11332840344186684,226656806.8837337,51900357.06727318,7.24565651,1.13121069,5.64533903,bitvavo
TRUMP,OFFICIAL TRUMP,official-trump,2025-01-18T04:19:35.000Z,4191.5,10.225719885586011,2045137198.2397923,893353283.400065,6.74968353,1.38395621,19.6915814,bitvavo
S,Sonic,sonic,2025-01-03T14:11:26.000Z,4541.63,0.36402899352000917,1048403501.3376265,271354734.8973421,11.55102942,1.36057125,19.04803467,bitvavo
BIO,Bio Protocol,bio,2024-12-23T08:13:52.000Z,4811.59,0.06560218793723609,103960470.12979402,51368986.91917787,6.4090815,0.83003096,31.5879088,bitvavo
FUEL,Fuel Network,fuel-network,2024-12-19T03:26:27.000Z,4912.38,0.008536096308648756,45503715.64572239,13511320.82876865,2.00983698,-0.32751954,10.37337117,bitvavo
PENGU,Pudgy Penguins,pudgy-penguins,2024-12-17T14:00:00.000Z,4949.82,0.023248879183369774,1461433754.1161098,1338215105.7102685,21.09274742,8.32221041,45.17650619,bitvavo
VANA,Vana,vana,2024-12-13T12:20:10.000Z,5047.49,5.102582396354902,153506088.81194088,35977746.89147771,9.7331037,1.37147679,22.62349045,bitvavo
F,SynFutures,synfutures,2024-12-06T10:15:16.000Z,5217.57,0.009032858156280132,19154784.327276018,10784000.04418034,9.9879488,1.08892935,-1.04728025,bitvavo
XION,XION,xion,2024-12-05T11:30:10.000Z,5240.32,0.9380400691621924,35032973.10839487,12557212.49803493,6.52833205,1.65232576,9.96106736,bitvavo
MORPHO,Morpho,morpho,2024-11-21T10:30:00.000Z,5577.32,1.7175665491085201,548775717.160141,24736561.99194699,3.93919177,1.7777492,28.15468209,bitvavo
CHILLGUY,Just a chill guy,just-a-chill-guy,2024-11-20T20:41:25.000Z,5591.13,0.06864149317107006,68638208.63843028,30250087.91006268,-1.68965581,1.08943773,29.75417735,bitvavo
AVA,AVA,ava-sol,2024-11-20T13:48:04.000Z,5598.02,0.03772383592835374,37723612.22600669,5789638.5188776,6.89431131,0.93353075,34.1939169,bitvavo
AIXBT,aixbt,aixbt,2024-11-20T08:37:44.000Z,5603.19,0.15831872221821838,150951156.35344785,131732363.9439935,4.86895989,1.08834721,26.24662356,bitvavo
SWELL,Swell Network,swell-network,2024-11-07T10:00:00.000Z,5913.82,0.01040723971950778,25199973.154578224,21054979.3948852,10.65513176,-0.09054235,18.82645079,bitvavo
SYRUP,Maple Finance,maple-finance,2024-11-06T06:16:40.000Z,5941.54,0.547131444479116,656686296.4238348,194609239.04678658,13.65744956,0.84383053,1.88103486,bitvavo
PNUT,Peanut the Squirrel,peanut-the-squirrel,2024-11-04T02:00:00.000Z,5993.82,0.28869896098928927,288656260.5244884,405881868.4890892,5.56132933,0.86051002,30.52862558,bitvavo
KAIA,Kaia,kaia,2024-10-29T05:17:50.000Z,6134.52,0.15930717310272707,966255176.1462398,61795243.57515353,3.0501586,0.43900221,3.62350331,bitvavo
GRASS,Grass,grass,2024-10-28T05:31:00.000Z,6158.31,1.2301102465802274,300030151.6321828,70140203.09876981,3.61325389,1.3439563,11.26824784,bitvavo
FARTCOIN,Fartcoin,fartcoin,2024-10-23T17:42:55.000Z,6266.11,1.3141683934512103,1314166101.541532,439333347.85361046,9.93600893,0.8575363,13.56553118,bitvavo
ACT,Act I : The AI Prophecy,act-i-the-ai-prophecy,2024-10-22T14:22:27.000Z,6293.45,0.045274598111754286,42931403.189329006,68668341.71089883,5.70735723,1.13071729,15.37301306,bitvavo
DBR,deBridge,debridge,2024-10-17T14:03:31.000Z,6413.76,0.02346346915997992,42921573.89775823,30426233.37040361,2.41548295,-0.0865929,13.09918479,bitvavo
LUMIA,Lumia,lumia,2024-10-17T03:48:13.000Z,6424.02,0.3272347915874286,41210413.30522635,67991517.76903133,31.56273835,-1.5870443,53.30016784,bitvavo
GOAT,Goatseus Maximus,goatseus-maximus,2024-10-14T10:15:47.000Z,6489.56,0.14279299720636632,142791921.1901341,111019210.0865054,25.93432835,1.29729064,47.45596023,bitvavo
DEEP,DeepBook Protocol,deepbook-protocol,2024-10-10T05:43:32.000Z,6590.1,0.17099645575372602,570615172.8501837,48885815.54060285,1.15597626,0.11391391,21.30700169,bitvavo
WCT,WalletConnect Token,walletconnect-token,2024-09-24T15:24:51.000Z,6964.41,0.34752177665362355,64708554.81290471,105622900.32291672,5.81062656,0.41689291,16.66358005,bitvavo
MOODENG,Moo Deng (moodengsol.com),moo-deng-solana,2024-09-21T02:09:39.000Z,7049.66,0.20076148421310624,198748206.12439647,276047753.233133,-5.06616434,2.47243411,17.08118009,bitvavo
