symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
SAHARA,Sahara AI,sahara-ai,2025-06-26T12:00:00.000Z,368.28,0.0804129035838146,164042323.31098178,164976169.73016232,4.17022228,0.98094013,-1.626674,binance
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,546.37,0.3380771060794415,72686577.80707993,89865553.41614775,2.81876738,0.81041852,-1.68400611,binance
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,700.52,0.00831163886093228,8309741.554817856,7522666.34546725,-8.32976815,1.32812952,13.36831663,binance
RESOLV,Resolv,resolv,2025-06-04T08:26:04.000Z,899.84,0.19582794393222694,30500202.267444346,448306311.7925038,35.04340337,-1.38338208,38.865181,binance
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1066.48,0.55718235778618,878810960.0937896,87667943.78746876,4.33442393,0.70074409,16.45129376,binance
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1113.28,0.04123378797019668,71471899.13459632,113003719.1943369,4.66029587,-0.54386141,31.77813233,binance
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1236.22,0.03520968816442581,34383692.81729602,95493922.64190729,7.75985587,0.77029628,11.25935853,binance
LA,Lagrange,lagrange,2025-05-15T07:24:08.000Z,1380.88,0.39412210407544096,76065566.0865601,172010741.38730556,-4.85896776,-0.26509317,-20.77489946,binance
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.78,0.08547653168866653,119667144.36413315,42468570.86973461,0.09111027,0.6029365,23.96946602,binance
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1761.28,0.16472294981442318,35003626.835564926,98549661.59716353,-0.4392223,-0.763324,37.49469247,binance
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.96,0.07467041334328628,89604496.01194353,35916686.15276698,8.94150318,-1.00536431,14.7759945,binance
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2051.24,0.5097815392603193,81218916.29349269,267921809.52567393,15.68518136,0.78621309,26.19590031,binance
HYPER,Hyperlane,hyperlane,2025-04-16T09:27:48.000Z,2074.81,0.5347093594974122,93681079.7839466,2008540241.2186298,9.49145333,-0.02369671,422.9693135,binance
USD1,World Liberty Financial USD,usd1,2025-04-13T05:37:56.000Z,2150.65,0.9999959867426127,2208837844.3296275,666313629.7786977,-0.01297644,-0.00918789,-0.03173266,binance
