symbol,name,slug,date_added,age_hours,price,market_cap,volume_24h,percent_change_24h,percent_change_1h,percent_change_7d,exchange
DOGE,Dogen,dogen-ethereum,2025-07-11T17:01:36.000Z,3.25,1.47804256561e-13,0.0,105409.48987179,-47.41789207,-47.39810454,-47.41789207,bitvavo
ALT,Altcoin,altcoin-ethereum,2025-07-10T13:11:58.000Z,31.08,9.3347570622e-14,0.0,73416.52490048,-77.89775583,-16.17599331,-63.25576682,bitvavo
ALT,Altcoin,altcoin-fun,2025-07-08T14:06:47.000Z,78.16,0.06713659956034214,0.0,18764132.68999039,19.90661282,-4.21664385,329.78038396,bitvavo
ICNT,Impossible Cloud Network,impossible-cloud-network,2025-07-02T03:41:23.000Z,232.59,0.2914413264648804,48736614.47291098,73387304.13444091,1.89047098,2.58197576,11.66072495,bitvavo
DMC,DeLorean,delorean,2025-06-24T11:00:00.000Z,417.28,0.005938832815853149,16085209.905081937,20347108.42452988,-1.33567889,0.72992917,-20.37371793,bitvavo
TRUMP,Mubarak Trump,mubarak-trump,2025-06-19T08:16:44.000Z,540.0,1.575506296448786e-05,0.0,51266.11939792,337.12004806,16.26358068,994.36096334,bitvavo
NEWT,Newton Protocol,newton-protocol,2025-06-19T01:54:19.000Z,546.37,0.3380771060794415,72686577.80707993,89865553.41614775,2.81876738,0.81041852,-1.68400611,bitvavo
DEGEN,Degen Arena,degen-arena,2025-06-12T15:46:58.000Z,700.49,1.706709900500172e-09,717995.7880414174,198127.48654951,-3.5571774,-3.76065196,-45.3824012,bitvavo
MASK,catwifmask,catwifmask,2025-06-12T15:45:24.000Z,700.52,0.00831163886093228,8309741.554817856,7522666.34546725,-8.32976815,1.32812952,13.36831663,bitvavo
EUROP,EURØP,europ,2025-06-10T10:00:03.000Z,754.28,1.1697362926424242,0.0,100086.71158643,-0.10698402,-0.01200349,-0.6261219,bitvavo
D,D,d,2025-05-29T07:57:20.000Z,1044.32,2.9414850852459615e-05,0.0,188663.88125705,37.59172628,1.24605432,1550.68219369,bitvavo
A,Vaulta,vaulta,2025-05-28T09:48:03.000Z,1066.48,0.55718235778618,878810960.0937896,87667943.78746876,4.33442393,0.70074409,16.45129376,bitvavo
ZEUS,Pepes Dog,pepes-dog,2025-05-26T12:39:03.000Z,1111.63,2.1997711277874466e-08,9254217.15748901,2388256.5342679,-27.9720933,-5.62849142,-16.96238922,bitvavo
HUMA,Huma Finance,huma-finance,2025-05-26T11:00:00.000Z,1113.28,0.04123378797019668,71471899.13459632,113003719.1943369,4.66029587,-0.54386141,31.77813233,bitvavo
ZEUS,Zeus (truezeuscoin.com),truezeuscoin,2025-05-22T13:16:04.000Z,1207.01,8.234763877879968e-09,3464282.8157853237,1116023.43149754,-7.43477302,0.08185196,-14.93402954,bitvavo
SPK,Spark,spark,2025-05-21T08:03:34.000Z,1236.22,0.03520968816442581,34383692.81729602,95493922.64190729,7.75985587,0.77029628,11.25935853,bitvavo
TURBO,TURBO BOME,turbo-bome,2025-05-20T06:36:03.000Z,1261.68,2.2038402550471192e-05,0.0,287207.11765386,-25.75670644,29.0841505,272.88874054,bitvavo
RED,RED,redfuture,2025-05-06T07:51:49.000Z,1596.41,1478.8676466649997,0.0,24421.74569733,-0.33672401,-1.2133252,-0.55035381,bitvavo
SXT,Space and Time,space-and-time,2025-05-02T07:29:58.000Z,1692.78,0.08547653168866653,119667144.36413315,42468570.86973461,0.09111027,0.6029365,23.96946602,bitvavo
HAEDAL,Haedal Protocol,haedal-protocol,2025-04-29T10:59:51.000Z,1761.28,0.16472294981442318,35003626.835564926,98549661.59716353,-0.4392223,-0.763324,37.49469247,bitvavo
TRUMP,TRUMP MOG (trumpmog.me),trump-mog,2025-04-29T08:39:17.000Z,1763.62,0.0019397914356262679,0.0,187394.46173433,44.44926196,6.31315445,1013.28040303,bitvavo
SIGN,Sign,sign,2025-04-25T14:19:12.000Z,1853.96,0.07467041334328628,89604496.01194353,35916686.15276698,8.94150318,-1.00536431,14.7759945,bitvavo
FARTCOIN,FARTCOIN (fartcoin.one),fartcoin-one,2025-04-24T07:32:14.000Z,1884.74,0.0007455406720878931,0.0,641293.46642431,-65.88110531,5.39907733,-12.58522981,bitvavo
INIT,Initia,initia,2025-04-17T09:02:11.000Z,2051.24,0.5097815392603193,81218916.29349269,267921809.52567393,15.68518136,0.78621309,26.19590031,bitvavo
PEPE,PEPE AI (pepeai.one),pepeai-one,2025-04-17T06:34:41.000Z,2053.7,0.00011423687262468369,0.0,341626.47154632,192.43431835,2.52031975,-85.57258468,bitvavo
TRUMP,PEPE TRUMP (pepetrump.cc),pepetrump-cc,2025-04-17T06:31:45.000Z,2053.75,1.3212759129628278e-08,0.0,1794871.92727989,-93.83539879,-1.75388805,-73.24104994,bitvavo
PROMPT,Wayfinder,wayfinder,2025-04-09T13:10:36.000Z,2239.1,0.159865889188901,0.0,47578121.3446025,16.83092713,-0.76913805,32.15656624,bitvavo
IP,TRUMP IP,trump-ip,2025-04-04T07:35:09.000Z,2364.69,5.747989854527926e-05,0.0,793638.21484391,122.83745108,5.59058393,919.65183003,bitvavo
KERNEL,KernelDAO,kerneldao,2025-04-01T13:15:11.000Z,2431.02,0.14709627457394306,25307074.709104184,98754441.93024655,15.45926362,-0.15665564,45.64911191,bitvavo
TRUMP,MAGA TRUMP (magatrumpcoin.com),magatrumpcoin-com,2025-03-28T03:51:29.000Z,2536.42,0.00010881196611834948,0.0,1590066.58596837,16.37880362,-29.47251614,-84.224229,bitvavo
HOME,Defi App,defi-app,2025-03-26T08:40:47.000Z,2579.6,0.02303993672065165,62668627.88017249,35919717.9311711,5.30682172,0.48568651,19.88655523,bitvavo
WAL,Walrus,walrus-xyz,2025-03-26T06:11:29.000Z,2582.09,0.41456402468404147,572443823.9463593,65195758.80747472,1.85600729,0.28433312,1.77053618,bitvavo
PARTI,Particle Network,particle-network,2025-03-24T02:22:29.000Z,2633.9,0.21210282844246275,49419959.02709382,97070843.42015424,17.96468386,-1.36970522,25.74841465,bitvavo
ELX,Elixir,elixir-protocol,2025-03-10T05:42:47.000Z,2966.56,0.10208873808465203,0.0,17301308.03240902,3.82984258,0.81610383,4.0261084,bitvavo
FORM,Form,form,2025-02-28T03:49:27.000Z,3208.45,0.00018431911692659884,0.0,291491.08317673,82.02023572,2.10554347,22.0684001,bitvavo
KAITO,KAITO,kaito,2025-02-14T13:09:33.000Z,3535.12,1.7041185199387816,411355276.2523468,82081224.98106107,8.82686316,1.15152322,11.8761208,bitvavo
HEI,Heima,heima,2025-02-12T06:52:06.000Z,3589.41,0.3223374469632383,24720158.087544408,25270978.9320874,11.56555578,-0.75265696,21.68691523,bitvavo
SHELL,MyShell,myshell,2025-02-12T03:34:17.000Z,3592.71,0.1692600972533977,48972588.13864748,36054057.09842782,6.60399429,0.16577717,22.1130269,bitvavo
NIL,Nillion,nillion,2025-02-11T10:24:28.000Z,3609.87,0.33111229892642874,64616565.13549257,31360757.29354854,4.24420585,0.01959571,18.49380917,bitvavo
HONEY,Honey,honey-bera,2025-02-10T02:31:00.000Z,3641.76,1.0023301992721037,0.0,4517457.47198696,-0.08464208,-0.22571303,-0.28172166,bitvavo
IP,Story,story-protocol,2025-02-06T07:02:40.000Z,3733.23,4.543655895116167,1302841157.6675732,139723797.66601023,34.47525709,2.82223064,55.8632991,bitvavo
ALPHA,Alpha,realalphacoin,2025-01-26T05:08:48.000Z,3999.13,0.0007827591870899627,782758.1186236723,16301.40660226,8.30520158,0.20417342,14.45064744,bitvavo
