symbol,name,price,market_cap,volume_24h,percent_change_24h
1INCH,1inch Network,0.2797808507779377,390161970.8964829,196521959.32645565,30.75708912
A,Vaulta,0.5537888323950537,873431617.9472111,79990668.50422116,6.13158405
AAVE,Aave,312.03684374912143,4739670616.903814,766147121.9335815,6.20071803
ACA,ACA Token,0.02808938034248295,1297904.2617893326,72537.71404927,10.82277253
ACE,ACENT,0.0005860801433529007,419082.45314036816,178189.58636587,13.1006998
ACH,Alchemy Pay,0.021801204712058368,201668702.22803053,52947121.340183,10.4809214
ACM,AC Milan Fan Token,0.824304579008594,6779763.381958096,2033825.94577448,5.73350871
ACT,Act I : The AI Prophecy,0.04495902182150738,42632159.60642318,66889046.08682398,8.95176294
ACX,Across Protocol,0.18405558347637171,90854858.39950831,36661334.52607585,20.65132476
ADA,Cardano,0.739260782609196,26161107498.17461,1993083588.052581,18.19987871
ADX,AdEx,0.0948739726960803,14031860.561750278,8449698.19413766,9.68915136
AE,Æternity,0.006802660726343014,2619751.5670670546,104810.22383178,7.03881622
AERGO,Aergo,0.11811620124289104,57286357.1030432,26186096.87649971,3.51575289
AEUR,Anchored Coins AEUR,1.1682894669297732,66603720.56801115,64654.31606741,0.47385605
AEVO,Aevo,0.11654373147016675,105897713.78885897,68741815.3873813,27.42902334
AGI,Delysium,0.05433247052675305,76267444.52060148,8455057.45159376,6.57504819
AGIX,SingularityNET,0.32371424110331704,0.0,56046.50936153,7.24075153
AGLD,Adventure Gold,0.8009614717411967,66888293.30606881,23963357.22232487,8.72999009
AI,Any Inu,2.041907670338959e-06,0.0,48016.25977285,4.85637531
AION,AION 5100,0.5151693404464351,0.0,193745.00678294,4.78541728
AIXBT,aixbt,0.1583027036056521,150935883.18767077,130758680.19227731,11.05011293
ALCX,Alchemix,8.770083176455252,21499996.642228145,3415589.71235136,10.68124602
ALGO,Algorand,0.2260725095255184,1953783514.245852,163653331.8126109,16.79563436
ALICE,MyNeighborAlice,0.4631440410581342,46314404.10581342,25663007.77742097,8.43212308
ALPACA,Alpaca Finance,0.022854125775058277,3466254.2113205628,12004754.46248112,75.88172102
ALPHA,Alpha,0.0008103687948115796,810367.6886581747,16351.41957513,15.54424696
ALPINE,Alpine F1 Team Fan Token,0.927200945607831,15498028.640038742,13532725.59192015,6.85735565
ALT,AptosLaunch Token,0.003082473630198481,0.0,121541.66224132,1.79529113
AMB,Ascendia (ex AirDAO),0.00012664405674427709,714130.151747771,218247.89818349,0.71301028
AMP,Amp,0.003709728992303949,312476434.7954853,19105734.89465236,5.92919765
ANIME,Animecoin,0.01855989895991629,102795942.79428193,49005590.30869922,11.92372113
ANKR,Ankr,0.01627412750437336,162741275.0437336,24878444.63457677,9.8389324
ANT,Autonomi,0.05082981186639367,6945631.255564405,537857.93347667,35.74577206
APE,APEcoin.dev,0.6759850876297072,0.0,18267.74089423,7.09342937
API3,API3,0.7147762227924513,61772375.00109233,22980274.74484369,10.25467402
APT,Aptos,4.972420860300456,3211159953.777425,280673163.40424705,8.63472722
AR,Arweave,6.466050843637039,424512183.16615206,65887316.50646094,13.38860428
ARB,Arbitrum,0.4137262046812184,2053421743.1325576,559825493.4270878,15.60949966
ARDR,Ardor,0.08202199575239266,81896192.97903636,5500371.31531993,5.74277774
ARK,Ark,0.4130164938704291,78428151.38300112,9272041.46930574,7.92417821
ARKM,Arkham,0.5541347921866623,124735741.72121768,121441223.84560618,13.23291934
ARPA,ARPA,0.02231081704438005,33903218.57972065,22718579.71900199,8.55359189
ASR,AS Roma Fan Token,2.3263921233287164,17203786.071622025,10788064.07246917,4.37050821
AST,Astroon,0.006653341336927135,0.0,84130.28047091,9.94663648
ASTR,Astar,0.02466979661258396,200627394.07115737,10290606.53393677,9.06474851
ATA,Automata Network,0.05391066449979527,31688258.831067797,7757257.46310731,12.59559507
ATM,Atletico De Madrid Fan Token,1.0610874705986555,7321001.65275713,2877252.35246519,5.86226954
ATOM,Cosmos,4.672075100584434,1826473960.4751954,182907596.86798766,8.36712187
AUCTION,Bounce Token,9.99260719834326,60856894.76053483,19335472.17693365,7.67753261
AUDIO,Audius,0.062381010543874814,83512582.5441882,14720582.42437568,7.22198531
AUTO,Auto,6.577597419123326,504276.59927831515,82349.66116186,5.03374315
AVA,AVA,0.03769811575074583,37697892.20091943,5731793.51832878,12.41412362
AVAX,Avalanche,21.101813817687862,8910774454.20326,659817570.8474886,7.62252842
AWE,AWE,0.05672812548496098,110189861.56009288,11763214.91314957,2.66267244
AXL,Axelar,0.3738914018130853,373522430.7764335,50935276.09421769,10.33359643
AXS,Axie Infinity,2.5383543705348397,421341261.7171099,48687125.78644245,10.80134409
BABY,Baby,1.1845280939213896e-07,116245.56323975265,804.43252908,7.39775551
BADGER,Badger DAO,1.118174497510286,22800230.688075848,10246147.69744781,2.14220139
BAKE,BakeryToken,0.0842204429010254,24404599.65040086,18250397.25957024,9.09964184
BAL,Balancer,1.1095631720511572,71330103.6127835,12085253.59729448,6.1219388
BANANA,ApeSwap,5.504636464425892e-09,2.0251526286287738,50.49711572,1.15057385
BANANAS31,Banana For Scale,0.02712243829452294,271224382.9452294,619762344.0696347,2.45819197
BAND,Band Protocol,0.6841857832559517,111750500.39406012,13851471.15912135,10.13677414
BAR,Gold Standard,0.29303344366374806,0.0,859182.34305145,13.85434532
BAT,Basic Attention Token,0.1450855639353789,216999887.02877036,19482075.5311746,7.95195607
BB,Bitboard,0.0009311674364960931,4101734.887167187,338342.69988144,1.91067212
BCD,Bitcoin Diamond,0.003490529071024373,650958.8818445284,0.0,0.0
BCH,Bitcoin Cash,522.0957846395072,10387472523.297533,578475155.4453775,1.31049231
BCN,Bytecoin,2.3977303112673488e-05,4413426.147463251,22.67472113,6.74131016
BEAM,Beam,0.03234806478209165,4876585.925010941,97550.43922527,6.97975895
BEAR,Bear Inu,2.71537131263332e-10,0.0,80252.88392089,-1.5092337
BEL,Bella Protocol,0.2958805523004057,23670444.18403246,23589807.80676787,16.44971931
BERA,Berachain,2.083848161007049,251025278.3234325,132104187.30922085,13.41109469
BETA,Beta Finance,0.0005538367306201602,526144.8940891522,61737.83008428,-0.13315301
BETH,Beth,8.328040081187062e-05,0.0,24882.75588273,-17.87662382
BICO,Biconomy,0.10868126149275383,104887728.98385175,19305555.50700225,10.74105138
BIDR,BIDR,6.310708004636761e-05,12027316.374085916,0.0,0.61611557
BIFI,Bitcoin File,0.000216529609276285,0.0,231757.49420104,13.68308551
BIGTIME,Big Time,0.059544788237701644,115804265.17135602,42524825.92720794,9.74397246
BIO,Bio Protocol,0.06537642958622608,103573907.54214199,56970493.4193624,16.6951922
BLUR,Blur,0.08416591370795314,203507306.4794441,28553118.98305598,12.13961333
BLZ,Bluzelle,0.03550326401036393,16571307.062014781,1518267.56683768,6.3084391
BMT,Bubblemaps,0.09231134765064768,33750670.27377206,68279549.48139273,6.79873114
BNB,BNB,689.0857963974594,95982373417.34741,2368501274.146229,2.68058937
BNT,Bancor,0.6958420569265972,80152725.64871697,8774583.18551584,7.86673013
BNX,BinaryX [Old],560.919982609673,0.0,38951.29700373,39.56448378
BOME,Book of Meme 3.0,7.14128432991219e-10,0.0,1255656.35837998,190.56143465
BOND,BarnBridge,0.15824315042094203,1251744.8255862142,833146.10845402,2.69414249
BONK,Bonk,2.3886952690691836e-05,1930364525.5445566,886998278.993012,7.85444455
BSW,Biswap,0.01604521294556719,10673437.339002147,12311583.39935464,11.1480457
BTC,Bitcoin,117896.34067797395,2345057956389.115,126114670102.46803,6.30828935
BTCB,Bitcoin on Base,0.27057599270491095,0.0,18973.26899001,5.65153007
BTCST,Bitcoin Standard Hashrate Token,0.027084571121989556,330469.7116877694,83262.10722357,-7.97294827
BTG,Bitcoin Gold,0.862940602325461,15113475.77097376,4803.1221966,-0.86326849
BTS,BitShares,0.0011915537307967939,3568774.9169602455,168257.29158035,4.468124
BTT,Bitteam token,6.699852199880234e-05,30886.318507450833,5.51469178,-0.04232472
BULL,Tron Bull,0.004663237837220668,4431360.53681313,62579.82293997,5.93534978
BURGER,BurgerCities,0.0036077506159654313,155262.5495126492,358007.77580645,20.68509361
C98,Coin98,0.05472418022989537,52915226.921878226,28876466.79395721,18.64812453
CAKE,PancakeSwap,2.520063256627058,870455388.3313035,116926296.40696433,6.0921475
CATI,Catizen,0.09361985970079482,30500414.091921944,27512227.95858537,4.38544726
CDT,CheckDot,0.08442567394289724,653930.4760971114,11534.38736271,2.33281224
CELO,Celo,0.3266848253660944,188180098.90001243,31141064.67575586,8.01305614
CELR,Celer Network,0.008904138844159578,69304688.93162842,12864581.05451116,12.97201874
CETUS,Cetus Protocol,0.11673144826519122,95838210.69787025,38033212.26658276,16.50149287
CFX,Conflux,0.09630483557695024,491494391.36998105,88086102.75649059,23.70253007
CGPT,ChainGPT,0.11183465053847358,76887120.54213408,28454625.24924374,11.51403747
CHAT,Solchat,0.20258276382424198,1629466.3575097374,163971.77938862,3.79934997
CHESS,ChessCoin,0.07459835434493514,0.0,749595.88770439,6.53351993
CHR,Chromia,0.09567817315381283,80798486.82914047,14055450.46915934,12.97011504
CHZ,Chiliz,0.040714708476422064,395423483.3497858,43399073.1532348,8.57480448
CITY,Manchester City Fan Token,0.9239792490592079,9275870.184350844,5440553.20755954,5.12287222
CKB,Nervos Network,0.004225498116539363,198002892.72843763,23153318.54434957,10.24379099
CLOAK,CloakCoin,0.03503219961273,212428.01613462996,0.0,0.0
CLV,CLV,0.02302258174084048,28182884.6002109,3990151.43513283,9.36752389
COMBO,Furucombo,0.0011388150886726494,46201.64285019924,0.0,8.92142949
COMP,Compound,47.93153978434583,450172365.20681983,101639832.33610195,6.08261088
COOKIE,Cookie DAO,0.20142378669400837,110315455.00285414,73991389.02284525,15.16813091
COP,Copiosa Coin,0.00025239742867267745,0.0,14898.58440108,4.85282829
COS,Contentos,0.0034119449656567972,17661792.453879256,16759715.94626594,9.64088857
COTI,COTI,0.05891323200216754,130924853.72353488,17663404.49999275,10.41959348
COW,COW,0.017409342297777436,0.0,523580.84810758,7.84734526
CREAM,Cream Finance,1.3363068031816716,2479729.746085298,85896.8311846,1.40051957
CRV,Curve DAO Token,0.6485706344345091,884253941.8965722,249366233.8871488,16.05063785
CTK,Shentu,0.3201287757818533,47369941.8683088,9228577.56116617,9.06080921
CTSI,Cartesi,0.07042116816707773,61513458.67242946,9152817.14186904,13.03099147
CTXC,Cortex,0.07190453754937866,16603966.166909229,7193398.90228171,6.18124337
CVC,Civic,0.0992818921646561,99281892.1646561,15753887.35375447,5.06180997
CVP,PowerPool,0.006971793049712387,315274.6279828751,17112.37045497,1.69339509
CVX,Convex Finance,3.23836970207182,318304550.291271,29897876.21726327,15.17735062
CYBER,Cyber,1.682387251417273,75476210.78665327,99041223.82900171,30.71714195
D,D,2.377998898079044e-05,0.0,180827.86204407,17.1102412
DAI,Dai,0.9997268610563668,5363917207.701279,49817517705.44344,-0.03372975
DASH,Dash,22.02207046175158,271531955.7793893,35674568.82798497,5.95636334
DATA,Databot,0.0011586010306041826,1061093.002188587,0.0,10.33864468
DCR,Decred,16.98183433177324,286987213.66908216,5324285.44113815,3.12931362
DEGO,Dego Finance,1.167552510352158,24515348.319672707,22172170.61315842,11.45115095
DENT,Dent,0.000773833844255548,77383384.42555475,8229521.10805813,22.27673664
DEXE,DeXe,7.901582445262387,661626566.9216707,23556504.04597589,2.58727838
DF,dForce,0.02896631846597227,28964179.20566516,4362824.93437587,10.7381994
DGB,DigiByte,0.008606959896885613,153122879.71605715,3192247.77109797,7.94356605
DIA,DIA,0.44172397783135736,52863804.71023922,7037657.38745729,12.83377492
DNT,district0x,0.028812785978100063,28812785.97810006,220916.71952417,13.80836155
DODO,DODO,0.12737016490055889,0.0,53432.99481593,34.00400207
DOGE,Department of Gov Efficiency (deptofgovtefficiency.com),0.06262474926953154,0.0,253397.27652059,3.80361338
DOGS,HARRIS DOGS,1.514096331149637e-05,0.0,376494.44147376,183.99775315
DOT,Polkadot,3.9850969664483964,6360191234.166818,450032279.70806533,9.24405077
DUSK,Dusk,0.06841590696918431,33229605.96815858,11189328.31337026,14.38939329
DYDX,dYdX,0.6272449971090752,472490021.83039397,25773626.5005195,11.09268617
DYM,Dymension,0.3054443501394355,98913009.10979983,25646580.95456735,22.2968218
EDU,Open Campus,0.15215312234670825,62491719.515453786,12621520.65463265,13.23357325
EGLD,MultiversX,15.569680440292233,442480205.75014484,30792285.68132262,9.36217207
EIGEN,EigenLayer,1.4114618002658668,442993110.29080826,151241803.78254205,14.13598722
ELF,THE LAND ELF Crossing,0.0063951407815424,0.0,96598.99348387,11.51387162
ENA,Ethena,0.35322510148497105,2244635137.092777,1239721283.882353,23.17157467
ENJ,Enjin Coin,0.07805430553671655,145160067.624719,20412070.55015085,11.40084318
ENS,Ethereum Name Service,22.417695351705078,818123410.7675717,144096278.91319293,10.23354357
EOS,EOS,0.5521201560714457,0.0,2218277.57535769,5.89196616
EPIC,Epic Cash,0.17289267210664308,2987521.057928769,3378.04179534,-0.4405672
EPS,Ellipsis,0.018704324640255485,13536349.141606413,696.65984071,1.46324157
EPX,Ellipsis,6.805750041261325e-06,541412.6260763382,388961.86684181,3.53352901
ERN,Ethos Reserve Note,0.9851349060000447,0.0,274753.69960974,7.49530727
ETC,Ethereum Classic,18.65086937524505,2847309816.250252,161963731.0305351,6.13315012
ETH,Ethereum,2987.0563867631113,360584672367.85266,43085918356.95266,7.45332358
ETHFI,ether.fi,1.2091044508228443,453162437.1392187,255796965.56943548,10.21750766
EURI,Eurite,1.17094466276151,60504017.879959546,40632392.41561939,0.0071963
EZ,EasyFi,0.0011014602635607122,7020.283657734509,40.72488628,6.47029754
FARM,FARM,1.8147127795814035,0.0,72658.00829224,-6.49287191
FDUSD,First Digital USD,0.998088081077384,1449688955.062198,10659476469.687326,-0.0446424
FET,Artificial Superintelligence Alliance,0.7435743846132976,1777621106.2966352,252370504.5762687,7.31938689
FIDA,Solana Name Service (previously Bonfida),0.08863616615806166,87830592.46929455,29101718.29322372,11.92457812
FIL,Filecoin,2.6296533830142774,1792689752.475793,302976794.23916227,7.99105498
FIO,FIO Protocol,0.01618727638178657,13176252.005207445,8025372.89806329,8.82549618
FIRO,Firo,0.7103219211994692,12408876.32448,370260.32377095,3.45086623
