symbol,name,price,market_cap,volume_24h,percent_change_24h
1INCH,1inch Network,0.2995379122226417,417713727.9626119,253519355.19180515,38.59900736
A,Vaulta,0.5551446081692861,875580701.4931167,82693144.70799252,7.08436502
AAVE,Aave,312.10159022915434,4742041326.306962,783389653.3610356,6.12143365
ABT,Arcblock,0.7224734695113559,71202870.98673058,773982.8595291,5.91124909
ACA,ACA Token,0.028300167573049092,1307643.9442439433,72313.04216858,11.15606037
ACE,ACENT,0.0005430192243803035,388291.31346060516,164332.01823681,2.58935704
ACH,Alchemy Pay,0.022229716195051565,205632582.01386866,54992532.83829883,13.13596839
ACT,Act I : The AI Prophecy,0.045533047601518495,43176476.579527974,68446771.17709142,9.74350436
ACX,Across Protocol,0.17925394064678643,88486177.91474272,38622090.09910352,16.89291956
ADA,Cardano,0.7519217300617071,26609155622.903797,2329974113.816826,20.38409068
ADX,AdEx,0.09642881956985223,14261822.414381145,8401729.12942253,10.94079028
AERGO,Aergo,0.11860784114361349,57524802.45281342,26955383.01558768,4.63293329
AERO,Aerodrome Finance,0.8264891706611721,703540457.3886324,71202167.73493731,13.62049585
AEVO,Aevo,0.11736423490568398,106643918.80002901,72278970.32051277,27.5584581
AGI,Delysium,0.05468176681108782,76757757.8586198,8583315.29202434,8.425852
AGLD,Adventure Gold,0.8032298506919444,67077725.63451413,23540137.8049751,8.65586378
AIOZ,AIOZ Network,0.3637044398097911,432329373.44902056,23675924.68398732,14.0694168
AIXBT,aixbt,0.1591183809111847,151713601.89810663,132237325.6046012,10.82504258
AKT,Akash Network,1.2558282377663776,311804311.9717254,16162000.45846692,8.76807191
ALGO,Algorand,0.22867160046457127,1976249548.689189,184927500.77912238,18.17244289
ALICE,MyNeighborAlice,0.4651555245579017,46515552.45579017,25154717.44083704,9.85503609
ALPHA,Alpha,0.0008138600301826014,813858.9192636602,16853.65626494,16.0101511
ALT,Altcoin,1.3461319085e-13,0.0,102156.9520631,-71.19654335
AMP,Amp,0.003765976804914431,317214278.4455284,19555622.98631343,7.16192411
