id	coin_name	current_price	symbol	currency	price	price_change_24h	marketcap	volume_24h	last_updated	volume_spike	date_added	exchange_id
2745	Vaulta	0.601926235267	A	USD	0.601926235267	7.02299124	950399977.8278	93909538.6472	2025-07-19 20:40:00	NULL	2025-05-28 09:48:03	1
2746	Arcblock	0.804717738322	ABT	USD	0.804717738322	1.36334822	79308397.7758	567166.3050	2025-07-19 20:40:00	NULL	2018-02-26 00:00:00	1
2747	Across Protocol	0.190595966733	ACX	USD	0.190595966733	7.18242670	94246446.9709	104232130.0561	2025-07-19 20:41:00	NULL	2022-11-09 23:45:27	1
2748	Cardano	0.832763795275	ADA	USD	0.832763795275	3.87422413	29478582544.1770	1128284318.1395	2025-07-19 20:41:00	NULL	2017-10-01 00:00:00	1
2749	Aergo	0.128184293916	AERGO	USD	0.128184293916	6.34652084	62169382.0070	77829180.4575	2025-07-19 20:41:00	NULL	2018-12-17 00:00:00	1
2750	ApeCoin	0.677551268988	APE	USD	0.677551268988	2.62493543	509959989.0937	36019832.3715	2025-07-19 20:41:00	NULL	2022-03-17 12:26:36	1
2751	Aptos	5.338716229057	APT	USD	5.338716229057	2.20983625	3493844963.6336	198046481.0634	2025-07-19 20:41:00	NULL	2022-10-19 01:50:25	1
2752	Ark	0.480222722120	ARK	USD	0.480222722120	10.29670615	91276377.4796	66273119.7710	2025-07-19 20:41:00	NULL	2017-03-22 00:00:00	1
2753	Bounce Token	10.827973035970	AUCTION	USD	10.827973035970	2.82667760	65944497.8112	12894289.7555	2025-07-19 20:41:00	NULL	2021-02-26 00:00:00	1
2754	Avalanche	24.910801494972	AVAX	USD	24.910801494972	7.44727682	10519215813.0530	602367220.2513	2025-07-19 20:41:00	NULL	2020-07-13 00:00:00	1
2755	Babylon	0.047419701921	BABY	USD	0.047419701921	2.69212346	118769538.8543	18886795.6167	2025-07-19 20:41:00	NULL	2024-07-15 10:03:41	1
2756	Bella Protocol	0.294026281449	BEL	USD	0.294026281449	3.79101818	23522102.5159	4582269.1640	2025-07-19 20:41:00	NULL	2020-09-07 00:00:00	1
2757	Bio Protocol	0.068163311727	BIO	USD	0.068163311727	1.59733326	109190229.5052	22461629.4780	2025-07-19 20:41:00	NULL	2024-12-23 08:13:52	1
2758	Bluzelle	0.037805918028	BLZ	USD	0.037805918028	3.84377207	17787853.6808	3418432.0670	2025-07-19 20:41:00	NULL	2018-02-06 00:00:00	1
2759	Bonk	0.000033179580	BONK	USD	0.000033179580	4.30638276	2686473046.4134	702919201.8560	2025-07-19 20:41:00	NULL	2022-12-30 06:58:50	1
2760	Brett (Based)	0.059689648268	BRETT	USD	0.059689648268	8.35221610	591538524.6680	27870818.2905	2025-07-19 20:40:00	NULL	2024-03-11 07:58:23	1
2761	Bitcoin	118018.405429875070	BTC	USD	118018.405429875070	0.86102797	2347926372260.2730	49821342236.0141	2025-07-19 20:40:00	NULL	2010-07-13 00:00:00	1
2762	Coin98	0.058949359935	C98	USD	0.058949359935	5.28937509	57000739.7965	13390876.6564	2025-07-19 20:41:00	NULL	2021-07-15 00:00:00	1
2763	PancakeSwap	2.648565784629	CAKE	USD	2.648565784629	1.52339620	914622409.4163	92363281.2071	2025-07-19 20:40:00	NULL	2020-09-25 00:00:00	1
2764	Celo	0.358514011179	CELO	USD	0.358514011179	4.08080466	206514649.1120	14772861.8019	2025-07-19 20:41:00	NULL	2020-05-22 00:00:00	1
2765	Just a chill guy	0.068416065797	CHILLGUY	USD	0.068416065797	5.01955390	68412773.7642	13998322.2993	2025-07-19 20:41:00	NULL	2024-11-20 20:41:25	1
2766	Chromia	0.096427801391	CHR	USD	0.096427801391	4.37021476	81460462.6587	8631071.1337	2025-07-19 20:41:00	NULL	2019-05-28 00:00:00	1
2767	CLV	0.023450728363	CLV	USD	0.023450728363	2.92057354	28706996.4039	1260580.3899	2025-07-19 20:41:00	NULL	2021-02-03 00:00:00	1
2768	COTI	0.062903979027	COTI	USD	0.062903979027	7.11636605	140871203.8669	12920230.1178	2025-07-19 20:41:00	NULL	2019-06-04 00:00:00	1
2769	Shentu	0.339262173782	CTK	USD	0.339262173782	2.68990918	50300282.7966	8434875.9559	2025-07-19 20:40:00	NULL	2019-10-19 00:00:00	1
2770	Civic	0.107666316631	CVC	USD	0.107666316631	5.58238635	107666316.6313	36963182.6320	2025-07-19 20:41:00	NULL	2017-07-17 00:00:00	1
2771	Convex Finance	4.421027505527	CVX	USD	4.421027505527	15.10700660	435105877.8644	69311337.6190	2025-07-19 20:40:00	NULL	2021-05-18 00:00:00	1
2772	Streamr	0.018904619987	DATA	USD	0.018904619987	3.23344839	21846251.6960	1957971.5802	2025-07-19 20:40:00	NULL	2017-11-03 00:00:00	1
2773	deBridge	0.020834555374	DBR	USD	0.020834555374	0.44978919	38112518.7423	4137214.3135	2025-07-19 20:40:00	NULL	2024-10-17 14:03:31	1
2774	Decred	17.285808865997	DCR	USD	17.285808865997	5.74726243	292383908.0178	3062911.3053	2025-07-19 20:41:00	NULL	2016-02-10 00:00:00	1
2775	DeepBook Protocol	0.196162546086	DEEP	USD	0.196162546086	6.85850040	654594416.2901	26757228.9012	2025-07-19 20:40:00	NULL	2024-10-10 05:43:32	1
2776	Dent	0.000769425347	DENT	USD	0.000769425347	4.13828260	76942534.7319	3775641.1089	2025-07-19 20:41:00	NULL	2017-08-12 00:00:00	1
2777	DeLorean	0.005165116129	DMC	USD	0.005165116129	5.64696106	13989613.7335	8717650.8735	2025-07-19 20:41:00	NULL	2025-06-24 11:00:00	1
2778	DODO	0.048410424086	DODO	USD	0.048410424086	4.52516741	35131609.5653	7049439.1986	2025-07-19 20:40:00	NULL	2020-09-29 00:00:00	1
2779	DOGS	0.000156573327	DOGS	USD	0.000156573327	3.81604566	80909266.7035	15652461.7254	2025-07-19 20:40:00	NULL	2024-08-26 12:00:00	1
2780	Drift	0.485147516339	DRIFT	USD	0.485147516339	2.87413682	167257568.6418	17161374.5507	2025-07-19 20:41:00	NULL	2024-05-16 07:44:32	1
2781	Dusk	0.068963213767	DUSK	USD	0.068963213767	2.92371961	33495432.8794	3670253.5331	2025-07-19 20:40:00	NULL	2019-07-11 00:00:00	1
2782	dYdX	0.671263346528	DYDX	USD	0.671263346528	3.39814615	505716847.4072	17790255.8762	2025-07-19 20:41:00	NULL	2021-08-03 00:00:00	1
2783	Elixir	0.203713679217	ELX	USD	0.203713679217	54.06582581	0.0000	65064172.0608	2025-07-19 20:41:00	NULL	2025-03-10 05:42:47	1
2784	Ethereum	3579.882097080728	ETH	USD	3579.882097080728	2.60633456	432135016143.0863	28236832745.7918	2025-07-19 20:41:00	NULL	2015-08-07 00:00:00	1
2785	Artificial Superintelligence Alliance	0.783225911965	FET	USD	0.783225911965	5.41765760	1868119219.8900	118224962.7175	2025-07-19 20:40:00	NULL	2019-03-02 00:00:00	1
