Exchange,Name,Symbol,Price USD,Price EUR,24h Change %,Volume,Market Cap
Bitvavo,PEPE,PEPE-EUR,,8.5482e-06,0,432345748884.0,
Bitvavo,MOG,MOG-EUR,,7.9746e-07,0,325917507896.0,
Bitvavo,BTT,BTT-EUR,,5.3998e-07,0,120594402163.0,
Bitvavo,SHIB,SHIB-EUR,,1.0022e-05,0,80791103557.53,
Bitvavo,BONK,BONK-EUR,,1.2187e-05,0,71328293904.0,
Bitvavo,FLOKI,FLOKI-EUR,,6.365e-05,0,5393482648.0,
Bitvavo,CAT,CAT-EUR,,5.5788e-06,0,3427642619.0,
Bitvavo,LUNA,LUNA-EUR,,4.7997e-05,0,2963523923.253484,
Bitvavo,DOGS,DOGS-EUR,,0.00011076,0,1350476402.55,
Bitvavo,NEIRO,NEIRO-EUR,,0.00034702,0,847142757.5,
Jupiter,Wrapped SOL,SOL,144.8959355,,,,
Jupiter,USD Coin,USDC,1.00004,,,,
Jupiter,USDT,USDT,1.000486,,,,
Jupiter,PayPal USD,PYUSD,1.000328,,,,
Jupiter,dogwifhat,$WIF,0.844414,,,,
Jupiter,Popcat,POPCAT,0.291279512,,,,
Jupiter,Jito Staked SOL,JitoSOL,175.518248157,,,,
Jupiter,Jupiter,JUP,0.41431,,,,
Jupiter,Bonk,Bonk,1.41009e-05,,,,
Jupiter,Jupiter Perps,JLP,4.388342,,,,
CoinGecko,Notcoin,NOT,1.7229470733739084e-08,,,,
CoinGecko,Toncoin,TON,2.7336574289170323e-05,,,,
CoinGecko,Sei,SEI,2.6796553097835007e-06,,,,
CoinGecko,Aerodrome Finance,AERO,8.017737720792553e-06,,,,
CoinGecko,ZKsync,ZK,4.3362760275929863e-07,,,,
CoinGecko,Chainlink,LINK,0.00012610872266892553,,,,
CoinGecko,LAMBO,LAMBO,3.611961037998625e-08,,,,
CoinGecko,Hyperliquid,HYPE,0.0003516795111985926,,,,
CoinGecko,Bittensor,TAO,0.003251906383297443,,,,
CoinGecko,Maple Finance,SYRUP,5.206934986345184e-06,,,,
CoinGecko,Solana,SOL,0.0013699277860668064,,,,
CoinGecko,Mango Network,MGO,1.698906669033921e-07,,,,
CoinGecko,Virtuals Protocol,VIRTUAL,1.4882271329246266e-05,,,,
CoinGecko,Aptos,APT,4.579391575027463e-05,,,,
CoinGecko,Jupiter,JUP,3.92045686851207e-06,,,,
Alpaca,BTC,BTC/USD,105921.8895,,0.0,0,
Alpaca,SOL,SOL/USD,144.948,,0.0,0,
Alpaca,ETH,ETH/USD,2437.3875,,-0.038530517030751305,0,
CoinMarketCap,DeLorean,DMC,0.007804663796117834,,,33318703.94801286,21138775.79850923
CoinMarketCap,AIVille,AGT,0.002987796627025567,,,19023535.42883886,0
CoinMarketCap,Mango Network,MGO,0.017482432824221687,,,19195345.40217984,0
